location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Kidney cancer,2019,,,1,,1,Male,5,prevalence,1.05E-05,1.05E-05,1.05E-05
D356,India,Kidney cancer,2019,,,1,,1,Male,6,incidence,1.67E-06,1.67E-06,1.67E-06
D356,India,Kidney cancer,2019,,,1,,1,Male,7,remission,0,0,0
D356,India,Kidney cancer,2019,,,1,,1,Male,15,mortality,0,0,0
D356,India,Kidney cancer,2019,,,1,,2,Female,5,prevalence,1.28E-05,1.28E-05,1.28E-05
D356,India,Kidney cancer,2019,,,1,,2,Female,6,incidence,1.91E-06,1.91E-06,1.91E-06
D356,India,Kidney cancer,2019,,,1,,2,Female,7,remission,0,0,0
D356,India,Kidney cancer,2019,,,1,,2,Female,15,mortality,0,0,0
D356,India,Kidney cancer,2019,,,2,,1,Male,5,prevalence,1.04E-05,1.04E-05,1.04E-05
D356,India,Kidney cancer,2019,,,2,,1,Male,6,incidence,1.65E-06,1.65E-06,1.65E-06
D356,India,Kidney cancer,2019,,,2,,1,Male,7,remission,0,0,0
D356,India,Kidney cancer,2019,,,2,,1,Male,15,mortality,0,0,0
D356,India,Kidney cancer,2019,,,2,,2,Female,5,prevalence,1.27E-05,1.27E-05,1.27E-05
D356,India,Kidney cancer,2019,,,2,,2,Female,6,incidence,1.90E-06,1.90E-06,1.90E-06
D356,India,Kidney cancer,2019,,,2,,2,Female,7,remission,0,0,0
D356,India,Kidney cancer,2019,,,2,,2,Female,15,mortality,0,0,0
D356,India,Kidney cancer,2019,,,3,,1,Male,5,prevalence,1.01E-05,1.01E-05,1.01E-05
D356,India,Kidney cancer,2019,,,3,,1,Male,6,incidence,1.61E-06,1.61E-06,1.61E-06
D356,India,Kidney cancer,2019,,,3,,1,Male,7,remission,0,0,0
D356,India,Kidney cancer,2019,,,3,,1,Male,15,mortality,0,0,0
D356,India,Kidney cancer,2019,,,3,,2,Female,5,prevalence,1.26E-05,1.26E-05,1.26E-05
D356,India,Kidney cancer,2019,,,3,,2,Female,6,incidence,1.88E-06,1.88E-06,1.88E-06
D356,India,Kidney cancer,2019,,,3,,2,Female,7,remission,0,0,0
D356,India,Kidney cancer,2019,,,3,,2,Female,15,mortality,0,0,0
D356,India,Kidney cancer,2019,,,4,,1,Male,5,prevalence,9.77E-06,9.77E-06,9.77E-06
D356,India,Kidney cancer,2019,,,4,,1,Male,6,incidence,1.55E-06,1.55E-06,1.55E-06
D356,India,Kidney cancer,2019,,,4,,1,Male,7,remission,0,0,0
D356,India,Kidney cancer,2019,,,4,,1,Male,15,mortality,0,0,0
D356,India,Kidney cancer,2019,,,4,,2,Female,5,prevalence,1.24E-05,1.24E-05,1.24E-05
D356,India,Kidney cancer,2019,,,4,,2,Female,6,incidence,1.85E-06,1.85E-06,1.85E-06
D356,India,Kidney cancer,2019,,,4,,2,Female,7,remission,0,0,0
D356,India,Kidney cancer,2019,,,4,,2,Female,15,mortality,0,0,0
D356,India,Kidney cancer,2019,,,5,,1,Male,5,prevalence,9.36E-06,9.36E-06,9.36E-06
D356,India,Kidney cancer,2019,,,5,,1,Male,6,incidence,1.49E-06,1.49E-06,1.49E-06
