Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,0.52,0.77
60,0.52,0.77
61,0.52,0.77
62,0.52,0.77
63,0.52,0.77
64,0.52,0.77
65,0.52,0.77
66,0.52,0.77
67,0.52,0.77
68,0.52,0.77
69,0.52,0.77
70,0.52,0.77
71,0.52,0.77
72,0.52,0.77
73,0.52,0.77
74,0.52,0.77
75,0.52,0.77
76,0.52,0.77
77,0.52,0.77
78,0.52,0.77
79,0.52,0.77
80,0.52,0.77
81,0.52,0.77
82,0.52,0.77
83,0.52,0.77
84,0.52,0.77
85,0.52,0.77
86,0.52,0.77
87,0.52,0.77
88,0.52,0.77
89,0.52,0.77
90,0.52,0.77
91,0.52,0.77
92,0.52,0.77
93,0.52,0.77
94,0.52,0.77
95,0.52,0.77
96,0.52,0.77
97,0.52,0.77
98,0.52,0.77
99,0.52,0.77
100,0.52,0.77
101,0.52,0.77
102,0.52,0.77
103,0.52,0.77
104,0.52,0.77
105,0.52,0.77
106,0.52,0.77
107,0.52,0.77
108,0.52,0.77
109,0.52,0.77
