Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1.01,1.01
18,1.01,1.01
19,1.01,1.01
20,1.01,1.01
21,1.01,1.01
22,1.01,1.01
23,1.01,1.01
24,1.01,1.01
25,1.01,1.01
26,1.01,1.01
27,1.01,1.01
28,1.01,1.01
29,1.01,1.01
30,1.01,1.01
31,1.01,1.01
32,1.01,1.01
33,1.01,1.01
34,1.01,1.01
35,1.01,1.01
36,1.01,1.01
37,1.01,1.01
38,1.01,1.01
39,1.01,1.01
40,1.01,1.01
41,1.01,1.01
42,1.01,1.01
43,1.01,1.01
44,1.01,1.01
45,1.01,1.01
46,1.01,1.01
47,1.01,1.01
48,1.01,1.01
49,1.01,1.01
50,1.01,1.01
51,1.01,1.01
52,1.01,1.01
53,1.01,1.01
54,1.01,1.01
55,1.01,1.01
56,1.01,1.01
57,1.01,1.01
58,1.01,1.01
59,1.01,1.01
60,1.01,1.01
61,1.01,1.01
62,1.01,1.01
63,1.01,1.01
64,1.01,1.01
65,1.01,1.01
66,1.01,1.01
67,1.01,1.01
68,1.01,1.01
69,1.01,1.01
70,1.01,1.01
71,1.01,1.01
72,1.01,1.01
73,1.01,1.01
74,1.01,1.01
75,1.01,1.01
76,1.01,1.01
77,1.01,1.01
78,1.01,1.01
79,1.01,1.01
80,1.01,1.01
81,1.01,1.01
82,1.01,1.01
83,1.01,1.01
84,1.01,1.01
85,1.01,1.01
86,1.01,1.01
87,1.01,1.01
88,1.01,1.01
89,1.01,1.01
90,1.01,1.01
91,1.01,1.01
92,1.01,1.01
93,1.01,1.01
94,1.01,1.01
95,1.01,1.01
96,1.01,1.01
97,1.01,1.01
98,1.01,1.01
99,1.01,1.01
100,1.01,1.01
101,1.01,1.01
102,1.01,1.01
103,1.01,1.01
104,1.01,1.01
105,1.01,1.01
106,1.01,1.01
107,1.01,1.01
108,1.01,1.01
109,1.01,1.01
