Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,2.1,2.5
42,2.1,2.5
43,2.1,2.5
44,2.1,2.5
45,2.1,2.5
46,2.1,2.5
47,2.1,2.5
48,2.1,2.5
49,2.1,2.5
50,2.1,2.5
51,2.1,2.5
52,2.1,2.5
53,2.1,2.5
54,2.1,2.5
55,2.1,2.5
56,2.1,2.5
57,2.1,2.5
58,2.1,2.5
59,2.1,2.5
60,2.1,2.5
61,2.1,2.5
62,2.1,2.5
63,2.1,2.5
64,2.1,2.5
65,2.1,2.5
66,2.1,2.5
67,2.1,2.5
68,2.1,2.5
69,2.1,2.5
70,2.1,2.5
71,2.1,2.5
72,2.1,2.5
73,2.1,2.5
74,2.1,2.5
75,2.1,2.5
76,2.1,2.5
77,2.1,2.5
78,2.1,2.5
79,2.1,2.5
80,2.1,2.5
81,2.1,2.5
82,2.1,2.5
83,2.1,2.5
84,2.1,2.5
85,2.1,2.5
86,2.1,2.5
87,2.1,2.5
88,2.1,2.5
89,2.1,2.5
90,2.1,2.5
91,2.1,2.5
92,2.1,2.5
93,2.1,2.5
94,2.1,2.5
95,2.1,2.5
96,2.1,2.5
97,2.1,2.5
98,2.1,2.5
99,2.1,2.5
100,2.1,2.5
101,2.1,2.5
102,2.1,2.5
103,2.1,2.5
104,2.1,2.5
105,2.1,2.5
106,2.1,2.5
107,2.1,2.5
108,2.1,2.5
109,2.1,2.5
110,2.1,2.5
