Age,Male,Female
0,1.86,1.86
1,1.86,1.86
2,1.86,1.86
3,1.86,1.86
4,1.86,1.86
5,1.86,1.86
6,1.86,1.86
7,1.86,1.86
8,1.86,1.86
9,1.86,1.86
10,1.86,1.86
11,1.86,1.86
12,1.86,1.86
13,1.86,1.86
14,1.86,1.86
15,1.86,1.86
16,1.86,1.86
17,1.86,1.86
18,1.86,1.86
19,1.86,1.86
20,1.86,1.86
21,1.86,1.86
22,1.86,1.86
23,1.86,1.86
24,1.86,1.86
25,1.86,1.86
26,1.86,1.86
27,1.86,1.86
28,1.86,1.86
29,1.86,1.86
30,1.86,1.86
31,1.86,1.86
32,1.86,1.86
33,1.86,1.86
34,1.86,1.86
35,1.86,1.86
36,1.86,1.86
37,1.86,1.86
38,1.86,1.86
39,1.86,1.86
40,1.86,1.86
41,1.86,1.86
42,1.86,1.86
43,1.86,1.86
44,1.86,1.86
45,1.86,1.86
46,1.86,1.86
47,1.86,1.86
48,1.86,1.86
49,1.86,1.86
50,1.86,1.86
51,1.86,1.86
52,1.86,1.86
53,1.86,1.86
54,1.86,1.86
55,1.86,1.86
56,1.86,1.86
57,1.86,1.86
58,1.86,1.86
59,1.86,1.86
60,1.86,1.86
61,1.86,1.86
62,1.86,1.86
63,1.86,1.86
64,1.86,1.86
65,1.86,1.86
66,1.86,1.86
67,1.86,1.86
68,1.86,1.86
69,1.86,1.86
70,1.86,1.86
71,1.86,1.86
72,1.86,1.86
73,1.86,1.86
74,1.86,1.86
75,1.86,1.86
76,1.86,1.86
77,1.86,1.86
78,1.86,1.86
79,1.86,1.86
80,1.86,1.86
81,1.86,1.86
82,1.86,1.86
83,1.86,1.86
84,1.86,1.86
85,1.86,1.86
86,1.86,1.86
87,1.86,1.86
88,1.86,1.86
89,1.86,1.86
90,1.86,1.86
91,1.86,1.86
92,1.86,1.86
93,1.86,1.86
94,1.86,1.86
95,1.86,1.86
96,1.86,1.86
97,1.86,1.86
98,1.86,1.86
99,1.86,1.86
100,1.86,1.86
101,1.86,1.86
102,1.86,1.86
103,1.86,1.86
104,1.86,1.86
105,1.86,1.86
106,1.86,1.86
107,1.86,1.86
108,1.86,1.86
109,1.86,1.86
110,1.86,1.86
