Age,Male,Female
0,2.92,2.92
1,2.92,2.92
2,2.92,2.92
3,2.92,2.92
4,2.92,2.92
5,2.92,2.92
6,2.92,2.92
7,2.92,2.92
8,2.92,2.92
9,2.92,2.92
10,2.92,2.92
11,2.92,2.92
12,2.92,2.92
13,2.92,2.92
14,2.92,2.92
15,2.92,2.92
16,2.92,2.92
17,2.92,2.92
18,2.92,2.92
19,2.92,2.92
20,2.92,2.92
21,2.92,2.92
22,2.92,2.92
23,2.92,2.92
24,2.92,2.92
25,2.92,2.92
26,2.92,2.92
27,2.92,2.92
28,2.92,2.92
29,2.92,2.92
30,2.92,2.92
31,2.92,2.92
32,2.92,2.92
33,2.92,2.92
34,2.92,2.92
35,2.92,2.92
36,2.92,2.92
37,2.92,2.92
38,2.92,2.92
39,2.92,2.92
40,2.92,2.92
41,2.92,2.92
42,2.92,2.92
43,2.92,2.92
44,2.92,2.92
45,2.92,2.92
46,2.92,2.92
47,2.92,2.92
48,2.92,2.92
49,2.92,2.92
50,2.92,2.92
51,2.92,2.92
52,2.92,2.92
53,2.92,2.92
54,2.92,2.92
55,2.92,2.92
56,2.92,2.92
57,2.92,2.92
58,2.92,2.92
59,2.92,2.92
60,2.92,2.92
61,2.92,2.92
62,2.92,2.92
63,2.92,2.92
64,2.92,2.92
65,2.92,2.92
66,2.92,2.92
67,2.92,2.92
68,2.92,2.92
69,2.92,2.92
70,2.92,2.92
71,2.92,2.92
72,2.92,2.92
73,2.92,2.92
74,2.92,2.92
75,2.92,2.92
76,2.92,2.92
77,2.92,2.92
78,2.92,2.92
79,2.92,2.92
80,2.92,2.92
81,2.92,2.92
82,2.92,2.92
83,2.92,2.92
84,2.92,2.92
85,2.92,2.92
86,2.92,2.92
87,2.92,2.92
88,2.92,2.92
89,2.92,2.92
90,2.92,2.92
91,2.92,2.92
92,2.92,2.92
93,2.92,2.92
94,2.92,2.92
95,2.92,2.92
96,2.92,2.92
97,2.92,2.92
98,2.92,2.92
99,2.92,2.92
100,2.92,2.92
101,2.92,2.92
102,2.92,2.92
103,2.92,2.92
104,2.92,2.92
105,2.92,2.92
106,2.92,2.92
107,2.92,2.92
108,2.92,2.92
109,2.92,2.92
110,2.92,2.92
