Age,Male,Female
0,1.1,1.7
1,1.1,1.7
2,1.1,1.7
3,1.1,1.7
4,1.1,1.7
5,1.1,1.7
6,1.1,1.7
7,1.1,1.7
8,1.1,1.7
9,1.1,1.7
10,1.1,1.7
11,1.1,1.7
12,1.1,1.7
13,1.1,1.7
14,1.1,1.7
15,1.1,1.7
16,1.1,1.7
17,1.1,1.7
18,1.1,1.7
19,1.1,1.7
20,1.1,1.7
21,1.1,1.7
22,1.1,1.7
23,1.1,1.7
24,1.1,1.7
25,1.1,1.7
26,1.1,1.7
27,1.1,1.7
28,1.1,1.7
29,1.1,1.7
30,1.1,1.7
31,1.1,1.7
32,1.1,1.7
33,1.1,1.7
34,1.1,1.7
35,1.1,1.7
36,1.1,1.7
37,1.1,1.7
38,1.1,1.7
39,1.1,1.7
40,1.1,1.7
41,1.1,1.7
42,1.1,1.7
43,1.1,1.7
44,1.1,1.7
45,1.1,1.7
46,1.1,1.7
47,1.1,1.7
48,1.1,1.7
49,1.1,1.7
50,1.1,1.7
51,1.1,1.7
52,1.1,1.7
53,1.1,1.7
54,1.1,1.7
55,1.1,1.7
56,1.1,1.7
57,1.1,1.7
58,1.1,1.7
59,1.1,1.7
60,1.1,1.7
61,1.1,1.7
62,1.1,1.7
63,1.1,1.7
64,1.1,1.7
65,1.1,1.7
66,1.1,1.7
67,1.1,1.7
68,1.1,1.7
69,1.1,1.7
70,1.1,1.7
71,1.1,1.7
72,1.1,1.7
73,1.1,1.7
74,1.1,1.7
75,1.1,1.7
76,1.1,1.7
77,1.1,1.7
78,1.1,1.7
79,1.1,1.7
80,1.1,1.7
81,1.1,1.7
82,1.1,1.7
83,1.1,1.7
84,1.1,1.7
85,1.1,1.7
86,1.1,1.7
87,1.1,1.7
88,1.1,1.7
89,1.1,1.7
90,1.1,1.7
91,1.1,1.7
92,1.1,1.7
93,1.1,1.7
94,1.1,1.7
95,1.1,1.7
96,1.1,1.7
97,1.1,1.7
98,1.1,1.7
99,1.1,1.7
100,1.1,1.7
101,1.1,1.7
102,1.1,1.7
103,1.1,1.7
104,1.1,1.7
105,1.1,1.7
106,1.1,1.7
107,1.1,1.7
108,1.1,1.7
109,1.1,1.7
110,1.1,1.7
