Age,Male,Female
0,0.86,0.86
1,0.86,0.86
2,0.86,0.86
3,0.86,0.86
4,0.86,0.86
5,0.86,0.86
6,0.86,0.86
7,0.86,0.86
8,0.86,0.86
9,0.86,0.86
10,0.86,0.86
11,0.86,0.86
12,0.86,0.86
13,0.86,0.86
14,0.86,0.86
15,0.86,0.86
16,0.86,0.86
17,0.86,0.86
18,0.86,0.86
19,0.86,0.86
20,0.86,0.86
21,0.86,0.86
22,0.86,0.86
23,0.86,0.86
24,0.86,0.86
25,0.86,0.86
26,0.86,0.86
27,0.86,0.86
28,0.86,0.86
29,0.86,0.86
30,0.86,0.86
31,0.86,0.86
32,0.86,0.86
33,0.86,0.86
34,0.86,0.86
35,0.86,0.86
36,0.86,0.86
37,0.86,0.86
38,0.86,0.86
39,0.86,0.86
40,0.86,0.86
41,0.86,0.86
42,0.86,0.86
43,0.86,0.86
44,0.86,0.86
45,0.86,0.86
46,0.86,0.86
47,0.86,0.86
48,0.86,0.86
49,0.86,0.86
50,0.86,0.86
51,0.86,0.86
52,0.86,0.86
53,0.86,0.86
54,0.86,0.86
55,0.86,0.86
56,0.86,0.86
57,0.86,0.86
58,0.86,0.86
59,0.86,0.86
60,0.86,0.86
61,0.86,0.86
62,0.86,0.86
63,0.86,0.86
64,0.86,0.86
65,0.86,0.86
66,0.86,0.86
67,0.86,0.86
68,0.86,0.86
69,0.86,0.86
70,0.86,0.86
71,0.86,0.86
72,0.86,0.86
73,0.86,0.86
74,0.86,0.86
75,0.86,0.86
76,0.86,0.86
77,0.86,0.86
78,0.86,0.86
79,0.86,0.86
80,0.86,0.86
81,0.86,0.86
82,0.86,0.86
83,0.86,0.86
84,0.86,0.86
85,0.86,0.86
86,0.86,0.86
87,0.86,0.86
88,0.86,0.86
89,0.86,0.86
90,0.86,0.86
91,0.86,0.86
92,0.86,0.86
93,0.86,0.86
94,0.86,0.86
95,0.86,0.86
96,0.86,0.86
97,0.86,0.86
98,0.86,0.86
99,0.86,0.86
100,0.86,0.86
101,0.86,0.86
102,0.86,0.86
103,0.86,0.86
104,0.86,0.86
105,0.86,0.86
106,0.86,0.86
107,0.86,0.86
108,0.86,0.86
109,0.86,0.86
110,0.86,0.86
