Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1.58,1.58
18,1.58,1.58
19,1.58,1.58
20,1.58,1.58
21,1.58,1.58
22,1.58,1.58
23,1.58,1.58
24,1.58,1.58
25,1.58,1.58
26,1.58,1.58
27,1.58,1.58
28,1.58,1.58
29,1.58,1.58
30,1.58,1.58
31,1.58,1.58
32,1.58,1.58
33,1.58,1.58
34,1.58,1.58
35,1.58,1.58
36,1.58,1.58
37,1.58,1.58
38,1.58,1.58
39,1.58,1.58
40,1.58,1.58
41,1.58,1.58
42,1.58,1.58
43,1.58,1.58
44,1.58,1.58
45,1.58,1.58
46,1.58,1.58
47,1.58,1.58
48,1.58,1.58
49,1.58,1.58
50,1.58,1.58
51,1.58,1.58
52,1.58,1.58
53,1.58,1.58
54,1.58,1.58
55,1.58,1.58
56,1.58,1.58
57,1.58,1.58
58,1.58,1.58
59,1.58,1.58
60,1.58,1.58
61,1.58,1.58
62,1.58,1.58
63,1.58,1.58
64,1.58,1.58
65,1.58,1.58
66,1.58,1.58
67,1.58,1.58
68,1.58,1.58
69,1.58,1.58
70,1.58,1.58
71,1.58,1.58
72,1.58,1.58
73,1.58,1.58
74,1.58,1.58
75,1.58,1.58
76,1.58,1.58
77,1.58,1.58
78,1.58,1.58
79,1.58,1.58
80,1.58,1.58
81,1.58,1.58
82,1.58,1.58
83,1.58,1.58
84,1.58,1.58
85,1.58,1.58
86,1.58,1.58
87,1.58,1.58
88,1.58,1.58
89,1.58,1.58
90,1.58,1.58
91,1.58,1.58
92,1.58,1.58
93,1.58,1.58
94,1.58,1.58
95,1.58,1.58
96,1.58,1.58
97,1.58,1.58
98,1.58,1.58
99,1.58,1.58
100,1.58,1.58
101,1.58,1.58
102,1.58,1.58
103,1.58,1.58
104,1.58,1.58
105,1.58,1.58
106,1.58,1.58
107,1.58,1.58
108,1.58,1.58
109,1.58,1.58
