location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Liver cancer,2019,,,1,,1,Male,5,prevalence,1.10E-06,1.10E-06,1.10E-06
D356,India,Liver cancer,2019,,,1,,1,Male,6,incidence,9.64E-07,9.64E-07,9.64E-07
D356,India,Liver cancer,2019,,,1,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,1,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,1,,2,Female,5,prevalence,1.20E-06,1.20E-06,1.20E-06
D356,India,Liver cancer,2019,,,1,,2,Female,6,incidence,9.83E-07,9.83E-07,9.83E-07
D356,India,Liver cancer,2019,,,1,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,1,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,2,,1,Male,5,prevalence,1.14E-06,1.14E-06,1.14E-06
D356,India,Liver cancer,2019,,,2,,1,Male,6,incidence,1.01E-06,1.01E-06,1.01E-06
D356,India,Liver cancer,2019,,,2,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,2,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,2,,2,Female,5,prevalence,1.24E-06,1.24E-06,1.24E-06
D356,India,Liver cancer,2019,,,2,,2,Female,6,incidence,1.02E-06,1.02E-06,1.02E-06
D356,India,Liver cancer,2019,,,2,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,2,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,3,,1,Male,5,prevalence,1.20E-06,1.20E-06,1.20E-06
D356,India,Liver cancer,2019,,,3,,1,Male,6,incidence,1.07E-06,1.07E-06,1.07E-06
D356,India,Liver cancer,2019,,,3,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,3,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,3,,2,Female,5,prevalence,1.29E-06,1.29E-06,1.29E-06
D356,India,Liver cancer,2019,,,3,,2,Female,6,incidence,1.07E-06,1.07E-06,1.07E-06
D356,India,Liver cancer,2019,,,3,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,3,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,4,,1,Male,5,prevalence,1.27E-06,1.27E-06,1.27E-06
D356,India,Liver cancer,2019,,,4,,1,Male,6,incidence,1.14E-06,1.14E-06,1.14E-06
D356,India,Liver cancer,2019,,,4,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,4,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,4,,2,Female,5,prevalence,1.36E-06,1.36E-06,1.36E-06
D356,India,Liver cancer,2019,,,4,,2,Female,6,incidence,1.14E-06,1.14E-06,1.14E-06
D356,India,Liver cancer,2019,,,4,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,4,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,5,,1,Male,5,prevalence,1.36E-06,1.36E-06,1.36E-06
D356,India,Liver cancer,2019,,,5,,1,Male,6,incidence,1.23E-06,1.23E-06,1.23E-06
D356,India,Liver cancer,2019,,,5,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,5,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,5,,2,Female,5,prevalence,1.44E-06,1.44E-06,1.44E-06
D356,India,Liver cancer,2019,,,5,,2,Female,6,incidence,1.22E-06,1.22E-06,1.22E-06
D356,India,Liver cancer,2019,,,5,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,5,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,6,,1,Male,5,prevalence,1.46E-06,1.46E-06,1.46E-06
D356,India,Liver cancer,2019,,,6,,1,Male,6,incidence,1.32E-06,1.32E-06,1.32E-06
D356,India,Liver cancer,2019,,,6,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,6,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,6,,2,Female,5,prevalence,1.53E-06,1.53E-06,1.53E-06
D356,India,Liver cancer,2019,,,6,,2,Female,6,incidence,1.30E-06,1.30E-06,1.30E-06
D356,India,Liver cancer,2019,,,6,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,6,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,7,,1,Male,5,prevalence,1.56E-06,1.56E-06,1.56E-06
D356,India,Liver cancer,2019,,,7,,1,Male,6,incidence,1.40E-06,1.40E-06,1.40E-06
D356,India,Liver cancer,2019,,,7,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,7,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,7,,2,Female,5,prevalence,1.63E-06,1.63E-06,1.63E-06
D356,India,Liver cancer,2019,,,7,,2,Female,6,incidence,1.38E-06,1.38E-06,1.38E-06
D356,India,Liver cancer,2019,,,7,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,7,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,8,,1,Male,5,prevalence,1.67E-06,1.67E-06,1.67E-06
D356,India,Liver cancer,2019,,,8,,1,Male,6,incidence,1.48E-06,1.48E-06,1.48E-06
D356,India,Liver cancer,2019,,,8,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,8,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,8,,2,Female,5,prevalence,1.75E-06,1.75E-06,1.75E-06
D356,India,Liver cancer,2019,,,8,,2,Female,6,incidence,1.46E-06,1.46E-06,1.46E-06
D356,India,Liver cancer,2019,,,8,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,8,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,9,,1,Male,5,prevalence,1.77E-06,1.77E-06,1.77E-06
D356,India,Liver cancer,2019,,,9,,1,Male,6,incidence,1.55E-06,1.55E-06,1.55E-06
D356,India,Liver cancer,2019,,,9,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,9,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,9,,2,Female,5,prevalence,1.87E-06,1.87E-06,1.87E-06
D356,India,Liver cancer,2019,,,9,,2,Female,6,incidence,1.54E-06,1.54E-06,1.54E-06
D356,India,Liver cancer,2019,,,9,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,9,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,10,,1,Male,5,prevalence,1.87E-06,1.87E-06,1.87E-06
D356,India,Liver cancer,2019,,,10,,1,Male,6,incidence,1.60E-06,1.60E-06,1.60E-06
D356,India,Liver cancer,2019,,,10,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,10,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,10,,2,Female,5,prevalence,2.00E-06,2.00E-06,2.00E-06
D356,India,Liver cancer,2019,,,10,,2,Female,6,incidence,1.60E-06,1.60E-06,1.60E-06
D356,India,Liver cancer,2019,,,10,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,10,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,11,,1,Male,5,prevalence,1.96E-06,1.96E-06,1.96E-06
D356,India,Liver cancer,2019,,,11,,1,Male,6,incidence,1.64E-06,1.64E-06,1.64E-06
D356,India,Liver cancer,2019,,,11,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,11,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,11,,2,Female,5,prevalence,2.13E-06,2.13E-06,2.13E-06
D356,India,Liver cancer,2019,,,11,,2,Female,6,incidence,1.66E-06,1.66E-06,1.66E-06
D356,India,Liver cancer,2019,,,11,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,11,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,12,,1,Male,5,prevalence,2.04E-06,2.04E-06,2.04E-06
D356,India,Liver cancer,2019,,,12,,1,Male,6,incidence,1.66E-06,1.66E-06,1.66E-06
D356,India,Liver cancer,2019,,,12,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,12,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,12,,2,Female,5,prevalence,2.27E-06,2.27E-06,2.27E-06
D356,India,Liver cancer,2019,,,12,,2,Female,6,incidence,1.71E-06,1.71E-06,1.71E-06
D356,India,Liver cancer,2019,,,12,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,12,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,13,,1,Male,5,prevalence,2.11E-06,2.11E-06,2.11E-06
D356,India,Liver cancer,2019,,,13,,1,Male,6,incidence,1.67E-06,1.67E-06,1.67E-06
D356,India,Liver cancer,2019,,,13,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,13,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,13,,2,Female,5,prevalence,2.40E-06,2.40E-06,2.40E-06
D356,India,Liver cancer,2019,,,13,,2,Female,6,incidence,1.75E-06,1.75E-06,1.75E-06
D356,India,Liver cancer,2019,,,13,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,13,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,14,,1,Male,5,prevalence,2.19E-06,2.19E-06,2.19E-06
D356,India,Liver cancer,2019,,,14,,1,Male,6,incidence,1.67E-06,1.67E-06,1.67E-06
D356,India,Liver cancer,2019,,,14,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,14,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,14,,2,Female,5,prevalence,2.54E-06,2.54E-06,2.54E-06
D356,India,Liver cancer,2019,,,14,,2,Female,6,incidence,1.78E-06,1.78E-06,1.78E-06
D356,India,Liver cancer,2019,,,14,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,14,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,15,,1,Male,5,prevalence,2.26E-06,2.26E-06,2.26E-06
D356,India,Liver cancer,2019,,,15,,1,Male,6,incidence,1.66E-06,1.66E-06,1.66E-06
D356,India,Liver cancer,2019,,,15,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,15,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,15,,2,Female,5,prevalence,2.67E-06,2.67E-06,2.67E-06
D356,India,Liver cancer,2019,,,15,,2,Female,6,incidence,1.81E-06,1.81E-06,1.81E-06
D356,India,Liver cancer,2019,,,15,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,15,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,16,,1,Male,5,prevalence,2.34E-06,2.34E-06,2.34E-06
D356,India,Liver cancer,2019,,,16,,1,Male,6,incidence,1.66E-06,1.66E-06,1.66E-06
D356,India,Liver cancer,2019,,,16,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,16,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,16,,2,Female,5,prevalence,2.80E-06,2.80E-06,2.80E-06
D356,India,Liver cancer,2019,,,16,,2,Female,6,incidence,1.83E-06,1.83E-06,1.83E-06
D356,India,Liver cancer,2019,,,16,,2,Female,7,remission,0,0,0
D356,India,Liver cancer,2019,,,16,,2,Female,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,17,,1,Male,5,prevalence,2.43E-06,2.43E-06,2.43E-06
D356,India,Liver cancer,2019,,,17,,1,Male,6,incidence,1.67E-06,1.67E-06,1.67E-06
D356,India,Liver cancer,2019,,,17,,1,Male,7,remission,0,0,0
D356,India,Liver cancer,2019,,,17,,1,Male,15,mortality,0,0,0
D356,India,Liver cancer,2019,,,17,,2,Female,5,prevalence,2.92E-06,2.92E-06,2.92E-06
D356,India,Liver cancer,2019,,,17,,2,Female,6,incidence,1.86E-06,1.86E-06,1.86E-06
