Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,0.64,0.72
60,0.64,0.72
61,0.64,0.72
62,0.64,0.72
63,0.64,0.72
64,0.64,0.72
65,0.64,0.72
66,0.64,0.72
67,0.64,0.72
68,0.64,0.72
69,0.64,0.72
70,0.64,0.72
71,0.64,0.72
72,0.64,0.72
73,0.64,0.72
74,0.64,0.72
75,0.64,0.72
76,0.64,0.72
77,0.64,0.72
78,0.64,0.72
79,0.64,0.72
80,0.64,0.72
81,0.64,0.72
82,0.64,0.72
83,0.64,0.72
84,0.64,0.72
85,0.64,0.72
86,0.64,0.72
87,0.64,0.72
88,0.64,0.72
89,0.64,0.72
90,0.64,0.72
91,0.64,0.72
92,0.64,0.72
93,0.64,0.72
94,0.64,0.72
95,0.64,0.72
96,0.64,0.72
97,0.64,0.72
98,0.64,0.72
99,0.64,0.72
100,0.64,0.72
101,0.64,0.72
102,0.64,0.72
103,0.64,0.72
104,0.64,0.72
105,0.64,0.72
106,0.64,0.72
107,0.64,0.72
108,0.64,0.72
109,0.64,0.72
