Age,Male,Female
0,4.07,4.07
1,4.07,4.07
2,4.07,4.07
3,4.07,4.07
4,4.07,4.07
5,4.07,4.07
6,4.07,4.07
7,4.07,4.07
8,4.07,4.07
9,4.07,4.07
10,4.07,4.07
11,4.07,4.07
12,4.07,4.07
13,4.07,4.07
14,4.07,4.07
15,4.07,4.07
16,4.07,4.07
17,4.07,4.07
18,4.07,4.07
19,4.07,4.07
20,4.07,4.07
21,4.07,4.07
22,4.07,4.07
23,4.07,4.07
24,4.07,4.07
25,4.07,4.07
26,4.07,4.07
27,4.07,4.07
28,4.07,4.07
29,4.07,4.07
30,4.07,4.07
31,4.07,4.07
32,4.07,4.07
33,4.07,4.07
34,4.07,4.07
35,4.07,4.07
36,4.07,4.07
37,4.07,4.07
38,4.07,4.07
39,4.07,4.07
40,4.07,4.07
41,4.07,4.07
42,4.07,4.07
43,4.07,4.07
44,4.07,4.07
45,4.07,4.07
46,4.07,4.07
47,4.07,4.07
48,4.07,4.07
49,4.07,4.07
50,4.07,4.07
51,4.07,4.07
52,4.07,4.07
53,4.07,4.07
54,4.07,4.07
55,4.07,4.07
56,4.07,4.07
57,4.07,4.07
58,4.07,4.07
59,4.07,4.07
60,4.07,4.07
61,4.07,4.07
62,4.07,4.07
63,4.07,4.07
64,4.07,4.07
65,4.07,4.07
66,4.07,4.07
67,4.07,4.07
68,4.07,4.07
69,4.07,4.07
70,4.07,4.07
71,4.07,4.07
72,4.07,4.07
73,4.07,4.07
74,4.07,4.07
75,4.07,4.07
76,4.07,4.07
77,4.07,4.07
78,4.07,4.07
79,4.07,4.07
80,4.07,4.07
81,4.07,4.07
82,4.07,4.07
83,4.07,4.07
84,4.07,4.07
85,4.07,4.07
86,4.07,4.07
87,4.07,4.07
88,4.07,4.07
89,4.07,4.07
90,4.07,4.07
91,4.07,4.07
92,4.07,4.07
93,4.07,4.07
94,4.07,4.07
95,4.07,4.07
96,4.07,4.07
97,4.07,4.07
98,4.07,4.07
99,4.07,4.07
100,4.07,4.07
101,4.07,4.07
102,4.07,4.07
103,4.07,4.07
104,4.07,4.07
105,4.07,4.07
106,4.07,4.07
107,4.07,4.07
108,4.07,4.07
109,4.07,4.07
110,4.07,4.07
