Age,Male,Female
0,2.71,2.71
1,2.71,2.71
2,2.71,2.71
3,2.71,2.71
4,2.71,2.71
5,2.71,2.71
6,2.71,2.71
7,2.71,2.71
8,2.71,2.71
9,2.71,2.71
10,2.71,2.71
11,2.71,2.71
12,2.71,2.71
13,2.71,2.71
14,2.71,2.71
15,2.71,2.71
16,2.71,2.71
17,2.71,2.71
18,2.71,2.71
19,2.71,2.71
20,2.71,2.71
21,2.71,2.71
22,2.71,2.71
23,2.71,2.71
24,2.71,2.71
25,2.71,2.71
26,2.71,2.71
27,2.71,2.71
28,2.71,2.71
29,2.71,2.71
30,2.71,2.71
31,2.71,2.71
32,2.71,2.71
33,2.71,2.71
34,2.71,2.71
35,2.71,2.71
36,2.71,2.71
37,2.71,2.71
38,2.71,2.71
39,2.71,2.71
40,2.71,2.71
41,2.71,2.71
42,2.71,2.71
43,2.71,2.71
44,2.71,2.71
45,2.71,2.71
46,2.71,2.71
47,2.71,2.71
48,2.71,2.71
49,2.71,2.71
50,2.71,2.71
51,2.71,2.71
52,2.71,2.71
53,2.71,2.71
54,2.71,2.71
55,2.71,2.71
56,2.71,2.71
57,2.71,2.71
58,2.71,2.71
59,2.71,2.71
60,2.71,2.71
61,2.71,2.71
62,2.71,2.71
63,2.71,2.71
64,2.71,2.71
65,2.71,2.71
66,2.71,2.71
67,2.71,2.71
68,2.71,2.71
69,2.71,2.71
70,2.71,2.71
71,2.71,2.71
72,2.71,2.71
73,2.71,2.71
74,2.71,2.71
75,2.71,2.71
76,2.71,2.71
77,2.71,2.71
78,2.71,2.71
79,2.71,2.71
80,2.71,2.71
81,2.71,2.71
82,2.71,2.71
83,2.71,2.71
84,2.71,2.71
85,2.71,2.71
86,2.71,2.71
87,2.71,2.71
88,2.71,2.71
89,2.71,2.71
90,2.71,2.71
91,2.71,2.71
92,2.71,2.71
93,2.71,2.71
94,2.71,2.71
95,2.71,2.71
96,2.71,2.71
97,2.71,2.71
98,2.71,2.71
99,2.71,2.71
100,2.71,2.71
101,2.71,2.71
102,2.71,2.71
103,2.71,2.71
104,2.71,2.71
105,2.71,2.71
106,2.71,2.71
107,2.71,2.71
108,2.71,2.71
109,2.71,2.71
110,2.71,2.71
