Age,Male,Female
0,2.87,2.87
1,2.87,2.87
2,2.87,2.87
3,2.87,2.87
4,2.87,2.87
5,2.87,2.87
6,2.87,2.87
7,2.87,2.87
8,2.87,2.87
9,2.87,2.87
10,2.87,2.87
11,2.87,2.87
12,2.87,2.87
13,2.87,2.87
14,2.87,2.87
15,2.87,2.87
16,2.87,2.87
17,2.87,2.87
18,2.87,2.87
19,2.87,2.87
20,2.87,2.87
21,2.87,2.87
22,2.87,2.87
23,2.87,2.87
24,2.87,2.87
25,2.87,2.87
26,2.87,2.87
27,2.87,2.87
28,2.87,2.87
29,2.87,2.87
30,2.87,2.87
31,2.87,2.87
32,2.87,2.87
33,2.87,2.87
34,2.87,2.87
35,2.87,2.87
36,2.87,2.87
37,2.87,2.87
38,2.87,2.87
39,2.87,2.87
40,2.87,2.87
41,2.87,2.87
42,2.87,2.87
43,2.87,2.87
44,2.87,2.87
45,2.87,2.87
46,2.87,2.87
47,2.87,2.87
48,2.87,2.87
49,2.87,2.87
50,2.87,2.87
51,2.87,2.87
52,2.87,2.87
53,2.87,2.87
54,2.87,2.87
55,2.87,2.87
56,2.87,2.87
57,2.87,2.87
58,2.87,2.87
59,2.87,2.87
60,2.87,2.87
61,2.87,2.87
62,2.87,2.87
63,2.87,2.87
64,2.87,2.87
65,2.87,2.87
66,2.87,2.87
67,2.87,2.87
68,2.87,2.87
69,2.87,2.87
70,2.87,2.87
71,2.87,2.87
72,2.87,2.87
73,2.87,2.87
74,2.87,2.87
75,2.87,2.87
76,2.87,2.87
77,2.87,2.87
78,2.87,2.87
79,2.87,2.87
80,2.87,2.87
81,2.87,2.87
82,2.87,2.87
83,2.87,2.87
84,2.87,2.87
85,2.87,2.87
86,2.87,2.87
87,2.87,2.87
88,2.87,2.87
89,2.87,2.87
90,2.87,2.87
91,2.87,2.87
92,2.87,2.87
93,2.87,2.87
94,2.87,2.87
95,2.87,2.87
96,2.87,2.87
97,2.87,2.87
98,2.87,2.87
99,2.87,2.87
100,2.87,2.87
101,2.87,2.87
102,2.87,2.87
103,2.87,2.87
104,2.87,2.87
105,2.87,2.87
106,2.87,2.87
107,2.87,2.87
108,2.87,2.87
109,2.87,2.87
110,2.87,2.87
