Age,Male,Female
0,1.35,1.35
1,1.35,1.35
2,1.35,1.35
3,1.35,1.35
4,1.35,1.35
5,1.35,1.35
6,1.35,1.35
7,1.35,1.35
8,1.35,1.35
9,1.35,1.35
10,1.35,1.35
11,1.35,1.35
12,1.35,1.35
13,1.35,1.35
14,1.35,1.35
15,1.35,1.35
16,1.35,1.35
17,1.35,1.35
18,1.35,1.35
19,1.35,1.35
20,1.35,1.35
21,1.35,1.35
22,1.35,1.35
23,1.35,1.35
24,1.35,1.35
25,1.35,1.35
26,1.35,1.35
27,1.35,1.35
28,1.35,1.35
29,1.35,1.35
30,1.35,1.35
31,1.35,1.35
32,1.35,1.35
33,1.35,1.35
34,1.35,1.35
35,1.35,1.35
36,1.35,1.35
37,1.35,1.35
38,1.35,1.35
39,1.35,1.35
40,1.35,1.35
41,1.35,1.35
42,1.35,1.35
43,1.35,1.35
44,1.35,1.35
45,1.35,1.35
46,1.35,1.35
47,1.35,1.35
48,1.35,1.35
49,1.35,1.35
50,1.35,1.35
51,1.35,1.35
52,1.35,1.35
53,1.35,1.35
54,1.35,1.35
55,1.35,1.35
56,1.35,1.35
57,1.35,1.35
58,1.35,1.35
59,1.35,1.35
60,1.35,1.35
61,1.35,1.35
62,1.35,1.35
63,1.35,1.35
64,1.35,1.35
65,1.35,1.35
66,1.35,1.35
67,1.35,1.35
68,1.35,1.35
69,1.35,1.35
70,1.35,1.35
71,1.35,1.35
72,1.35,1.35
73,1.35,1.35
74,1.35,1.35
75,1.35,1.35
76,1.35,1.35
77,1.35,1.35
78,1.35,1.35
79,1.35,1.35
80,1.35,1.35
81,1.35,1.35
82,1.35,1.35
83,1.35,1.35
84,1.35,1.35
85,1.35,1.35
86,1.35,1.35
87,1.35,1.35
88,1.35,1.35
89,1.35,1.35
90,1.35,1.35
91,1.35,1.35
92,1.35,1.35
93,1.35,1.35
94,1.35,1.35
95,1.35,1.35
96,1.35,1.35
97,1.35,1.35
98,1.35,1.35
99,1.35,1.35
100,1.35,1.35
101,1.35,1.35
102,1.35,1.35
103,1.35,1.35
104,1.35,1.35
105,1.35,1.35
106,1.35,1.35
107,1.35,1.35
108,1.35,1.35
109,1.35,1.35
110,1.35,1.35
