Age,Male,Female
0,2.958,2.958
1,2.958,2.958
2,2.958,2.958
3,2.958,2.958
4,2.958,2.958
5,2.958,2.958
6,2.958,2.958
7,2.958,2.958
8,2.958,2.958
9,2.958,2.958
10,2.958,2.958
11,2.958,2.958
12,2.958,2.958
13,2.958,2.958
14,2.958,2.958
15,2.958,2.958
16,2.958,2.958
17,2.958,2.958
18,2.958,2.958
19,2.958,2.958
20,2.958,2.958
21,2.958,2.958
22,2.958,2.958
23,2.958,2.958
24,2.958,2.958
25,2.958,2.958
26,2.958,2.958
27,2.958,2.958
28,2.958,2.958
29,2.958,2.958
30,2.958,2.958
31,2.958,2.958
32,2.958,2.958
33,2.958,2.958
34,2.958,2.958
35,2.958,2.958
36,2.958,2.958
37,2.958,2.958
38,2.958,2.958
39,2.958,2.958
40,2.958,2.958
41,2.958,2.958
42,2.958,2.958
43,2.958,2.958
44,2.958,2.958
45,2.958,2.958
46,2.958,2.958
47,2.958,2.958
48,2.958,2.958
49,2.958,2.958
50,2.958,2.958
51,2.958,2.958
52,2.958,2.958
53,2.958,2.958
54,2.958,2.958
55,2.958,2.958
56,2.958,2.958
57,2.958,2.958
58,2.958,2.958
59,2.958,2.958
60,2.958,2.958
61,2.958,2.958
62,2.958,2.958
63,2.958,2.958
64,2.958,2.958
65,2.958,2.958
66,2.958,2.958
67,2.958,2.958
68,2.958,2.958
69,2.958,2.958
70,2.958,2.958
71,2.958,2.958
72,2.958,2.958
73,2.958,2.958
74,2.958,2.958
75,2.958,2.958
76,2.958,2.958
77,2.958,2.958
78,2.958,2.958
79,2.958,2.958
80,2.958,2.958
81,2.958,2.958
82,2.958,2.958
83,2.958,2.958
84,2.958,2.958
85,2.958,2.958
86,2.958,2.958
87,2.958,2.958
88,2.958,2.958
89,2.958,2.958
90,2.958,2.958
91,2.958,2.958
92,2.958,2.958
93,2.958,2.958
94,2.958,2.958
95,2.958,2.958
96,2.958,2.958
97,2.958,2.958
98,2.958,2.958
99,2.958,2.958
100,2.958,2.958
101,2.958,2.958
102,2.958,2.958
103,2.958,2.958
104,2.958,2.958
105,2.958,2.958
106,2.958,2.958
107,2.958,2.958
108,2.958,2.958
109,2.958,2.958
110,2.958,2.958
