Age,Male,Female
0,2.46,2.46
1,2.46,2.46
2,2.46,2.46
3,2.46,2.46
4,2.46,2.46
5,2.46,2.46
6,2.46,2.46
7,2.46,2.46
8,2.46,2.46
9,2.46,2.46
10,2.46,2.46
11,2.46,2.46
12,2.46,2.46
13,2.46,2.46
14,2.46,2.46
15,2.46,2.46
16,2.46,2.46
17,2.46,2.46
18,2.46,2.46
19,2.46,2.46
20,2.46,2.46
21,2.46,2.46
22,2.46,2.46
23,2.46,2.46
24,2.46,2.46
25,2.46,2.46
26,2.46,2.46
27,2.46,2.46
28,2.46,2.46
29,2.46,2.46
30,2.46,2.46
31,2.46,2.46
32,2.46,2.46
33,2.46,2.46
34,2.46,2.46
35,2.46,2.46
36,2.46,2.46
37,2.46,2.46
38,2.46,2.46
39,2.46,2.46
40,2.46,2.46
41,2.46,2.46
42,2.46,2.46
43,2.46,2.46
44,2.46,2.46
45,2.46,2.46
46,2.46,2.46
47,2.46,2.46
48,2.46,2.46
49,2.46,2.46
50,2.46,2.46
51,2.46,2.46
52,2.46,2.46
53,2.46,2.46
54,2.46,2.46
55,2.46,2.46
56,2.46,2.46
57,2.46,2.46
58,2.46,2.46
59,2.46,2.46
60,2.46,2.46
61,2.46,2.46
62,2.46,2.46
63,2.46,2.46
64,2.46,2.46
65,2.46,2.46
66,2.46,2.46
67,2.46,2.46
68,2.46,2.46
69,2.46,2.46
70,2.46,2.46
71,2.46,2.46
72,2.46,2.46
73,2.46,2.46
74,2.46,2.46
75,2.46,2.46
76,2.46,2.46
77,2.46,2.46
78,2.46,2.46
79,2.46,2.46
80,2.46,2.46
81,2.46,2.46
82,2.46,2.46
83,2.46,2.46
84,2.46,2.46
85,2.46,2.46
86,2.46,2.46
87,2.46,2.46
88,2.46,2.46
89,2.46,2.46
90,2.46,2.46
91,2.46,2.46
92,2.46,2.46
93,2.46,2.46
94,2.46,2.46
95,2.46,2.46
96,2.46,2.46
97,2.46,2.46
98,2.46,2.46
99,2.46,2.46
100,2.46,2.46
101,2.46,2.46
102,2.46,2.46
103,2.46,2.46
104,2.46,2.46
105,2.46,2.46
106,2.46,2.46
107,2.46,2.46
108,2.46,2.46
109,2.46,2.46
110,2.46,2.46
