Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1.45,1.45
40,1.45,1.45
41,1.45,1.45
42,1.45,1.45
43,1.45,1.45
44,1.45,1.45
45,1.45,1.45
46,1.45,1.45
47,1.45,1.45
48,1.45,1.45
49,1.45,1.45
50,1.45,1.45
51,1.45,1.45
52,1.45,1.45
53,1.45,1.45
54,1.45,1.45
55,1.45,1.45
56,1.45,1.45
57,1.45,1.45
58,1.45,1.45
59,1.25,1.25
60,1.25,1.25
61,1.25,1.25
62,1.25,1.25
63,1.25,1.25
64,1.25,1.25
65,1.25,1.25
66,1.25,1.25
67,1.25,1.25
68,1.25,1.25
69,1.25,1.25
70,1.25,1.25
71,1.25,1.25
72,1.25,1.25
73,1.25,1.25
74,1.25,1.25
75,1.25,1.25
76,1.25,1.25
77,1.25,1.25
78,1.25,1.25
79,1.25,1.25
80,1.25,1.25
81,1.25,1.25
82,1.25,1.25
83,1.25,1.25
84,1.25,1.25
85,1.25,1.25
86,1.25,1.25
87,1.25,1.25
88,1.25,1.25
89,1.25,1.25
90,1.25,1.25
91,1.25,1.25
92,1.25,1.25
93,1.25,1.25
94,1.25,1.25
95,1.25,1.25
96,1.25,1.25
97,1.25,1.25
98,1.25,1.25
99,1.25,1.25
100,1.25,1.25
101,1.25,1.25
102,1.25,1.25
103,1.25,1.25
104,1.25,1.25
105,1.25,1.25
106,1.25,1.25
107,1.25,1.25
108,1.25,1.25
109,1.25,1.25
