Age,Male,Female
0,1.03,1
1,1.03,1
2,1.03,1
3,1.03,1
4,1.03,1
5,1.03,1
6,1.03,1
7,1.03,1
8,1.03,1
9,1.03,1
10,1.03,1
11,1.03,1
12,1.03,1
13,1.03,1
14,1.03,1
15,1.03,1
16,1.03,1
17,1.03,1
18,1.03,1
19,1.03,1
20,1.03,1
21,1.03,1
22,1.03,1
23,1.03,1
24,1.03,1
25,1.03,1
26,1.03,1
27,1.03,1
28,1.03,1
29,1.03,1
30,1.03,1
31,1.03,1
32,1.03,1
33,1.03,1
34,1.03,1
35,1.03,1
36,1.03,1
37,1.03,1
38,1.03,1
39,1.03,1
40,1.03,1
41,1.03,1
42,1.03,1
43,1.03,1
44,1.03,1
45,1.03,1
46,1.03,1
47,1.03,1
48,1.03,1
49,1.03,1
50,1.03,1
51,1.03,1
52,1.03,1
53,1.03,1
54,1.03,1
55,1.03,1
56,1.03,1
57,1.03,1
58,1.03,1
59,1.03,1
60,1.03,1
61,1.03,1
62,1.03,1
63,1.03,1
64,1.03,1
65,1.03,1
66,1.03,1
67,1.03,1
68,1.03,1
69,1.03,1
70,1.03,1
71,1.03,1
72,1.03,1
73,1.03,1
74,1.03,1
75,1.03,1
76,1.03,1
77,1.03,1
78,1.03,1
79,1.03,1
80,1.03,1
81,1.03,1
82,1.03,1
83,1.03,1
84,1.03,1
85,1.03,1
86,1.03,1
87,1.03,1
88,1.03,1
89,1.03,1
90,1.03,1
91,1.03,1
92,1.03,1
93,1.03,1
94,1.03,1
95,1.03,1
96,1.03,1
97,1.03,1
98,1.03,1
99,1.03,1
100,1.03,1
101,1.03,1
102,1.03,1
103,1.03,1
104,1.03,1
105,1.03,1
106,1.03,1
107,1.03,1
108,1.03,1
109,1.03,1
110,1.03,1
