Age,Male,Female
0,1.22,1.22
1,1.22,1.22
2,1.22,1.22
3,1.22,1.22
4,1.22,1.22
5,1.22,1.22
6,1.22,1.22
7,1.22,1.22
8,1.22,1.22
9,1.22,1.22
10,1.22,1.22
11,1.22,1.22
12,1.22,1.22
13,1.22,1.22
14,1.22,1.22
15,1.22,1.22
16,1.22,1.22
17,1.22,1.22
18,1.22,1.22
19,1.22,1.22
20,1.22,1.22
21,1.22,1.22
22,1.22,1.22
23,1.22,1.22
24,1.22,1.22
25,1.22,1.22
26,1.22,1.22
27,1.22,1.22
28,1.22,1.22
29,1.22,1.22
30,1.22,1.22
31,1.22,1.22
32,1.22,1.22
33,1.22,1.22
34,1.22,1.22
35,1.22,1.22
36,1.22,1.22
37,1.22,1.22
38,1.22,1.22
39,1.22,1.22
40,1.22,1.22
41,1.22,1.22
42,1.22,1.22
43,1.22,1.22
44,1.22,1.22
45,1.22,1.22
46,1.22,1.22
47,1.22,1.22
48,1.22,1.22
49,1.22,1.22
50,1.22,1.22
51,1.22,1.22
52,1.22,1.22
53,1.22,1.22
54,1.22,1.22
55,1.22,1.22
56,1.22,1.22
57,1.22,1.22
58,1.22,1.22
59,1.22,1.22
60,1.22,1.22
61,1.22,1.22
62,1.22,1.22
63,1.22,1.22
64,1.22,1.22
65,1.22,1.22
66,1.22,1.22
67,1.22,1.22
68,1.22,1.22
69,1.22,1.22
70,1.22,1.22
71,1.22,1.22
72,1.22,1.22
73,1.22,1.22
74,1.22,1.22
75,1.22,1.22
76,1.22,1.22
77,1.22,1.22
78,1.22,1.22
79,1.22,1.22
80,1.22,1.22
81,1.22,1.22
82,1.22,1.22
83,1.22,1.22
84,1.22,1.22
85,1.22,1.22
86,1.22,1.22
87,1.22,1.22
88,1.22,1.22
89,1.22,1.22
90,1.22,1.22
91,1.22,1.22
92,1.22,1.22
93,1.22,1.22
94,1.22,1.22
95,1.22,1.22
96,1.22,1.22
97,1.22,1.22
98,1.22,1.22
99,1.22,1.22
100,1.22,1.22
101,1.22,1.22
102,1.22,1.22
103,1.22,1.22
104,1.22,1.22
105,1.22,1.22
106,1.22,1.22
107,1.22,1.22
108,1.22,1.22
109,1.22,1.22
110,1.22,1.22
