Age,Male,Female
0,1.56,1.56
1,1.56,1.56
2,1.56,1.56
3,1.56,1.56
4,1.56,1.56
5,1.56,1.56
6,1.56,1.56
7,1.56,1.56
8,1.56,1.56
9,1.56,1.56
10,1.56,1.56
11,1.56,1.56
12,1.56,1.56
13,1.56,1.56
14,1.56,1.56
15,1.56,1.56
16,1.56,1.56
17,1.56,1.56
18,1.56,1.56
19,1.56,1.56
20,1.56,1.56
21,1.56,1.56
22,1.56,1.56
23,1.56,1.56
24,1.56,1.56
25,1.56,1.56
26,1.56,1.56
27,1.56,1.56
28,1.56,1.56
29,1.56,1.56
30,1.56,1.56
31,1.56,1.56
32,1.56,1.56
33,1.56,1.56
34,1.56,1.56
35,1.56,1.56
36,1.56,1.56
37,1.56,1.56
38,1.56,1.56
39,1.56,1.56
40,1.56,1.56
41,1.56,1.56
42,1.56,1.56
43,1.56,1.56
44,1.56,1.56
45,1.56,1.56
46,1.56,1.56
47,1.56,1.56
48,1.56,1.56
49,1.56,1.56
50,1.56,1.56
51,1.56,1.56
52,1.56,1.56
53,1.56,1.56
54,1.56,1.56
55,1.56,1.56
56,1.56,1.56
57,1.56,1.56
58,1.56,1.56
59,1.56,1.56
60,1.56,1.56
61,1.56,1.56
62,1.56,1.56
63,1.56,1.56
64,1.56,1.56
65,1.56,1.56
66,1.56,1.56
67,1.56,1.56
68,1.56,1.56
69,1.56,1.56
70,1.56,1.56
71,1.56,1.56
72,1.56,1.56
73,1.56,1.56
74,1.56,1.56
75,1.56,1.56
76,1.56,1.56
77,1.56,1.56
78,1.56,1.56
79,1.56,1.56
80,1.56,1.56
81,1.56,1.56
82,1.56,1.56
83,1.56,1.56
84,1.56,1.56
85,1.56,1.56
86,1.56,1.56
87,1.56,1.56
88,1.56,1.56
89,1.56,1.56
90,1.56,1.56
91,1.56,1.56
92,1.56,1.56
93,1.56,1.56
94,1.56,1.56
95,1.56,1.56
96,1.56,1.56
97,1.56,1.56
98,1.56,1.56
99,1.56,1.56
100,1.56,1.56
101,1.56,1.56
102,1.56,1.56
103,1.56,1.56
104,1.56,1.56
105,1.56,1.56
106,1.56,1.56
107,1.56,1.56
108,1.56,1.56
109,1.56,1.56
110,1.56,1.56
