Age,Male,Female
0,12.6,12.6
1,12.6,12.6
2,12.6,12.6
3,12.6,12.6
4,12.6,12.6
5,12.6,12.6
6,12.6,12.6
7,12.6,12.6
8,12.6,12.6
9,12.6,12.6
10,12.6,12.6
11,12.6,12.6
12,12.6,12.6
13,12.6,12.6
14,12.6,12.6
15,12.6,12.6
16,12.6,12.6
17,12.6,12.6
18,12.6,12.6
19,12.6,12.6
20,12.6,12.6
21,12.6,12.6
22,12.6,12.6
23,12.6,12.6
24,12.6,12.6
25,12.6,12.6
26,12.6,12.6
27,12.6,12.6
28,12.6,12.6
29,12.6,12.6
30,12.6,12.6
31,12.6,12.6
32,12.6,12.6
33,12.6,12.6
34,12.6,12.6
35,12.6,12.6
36,12.6,12.6
37,12.6,12.6
38,12.6,12.6
39,12.6,12.6
40,12.6,12.6
41,12.6,12.6
42,12.6,12.6
43,12.6,12.6
44,12.6,12.6
45,12.6,12.6
46,12.6,12.6
47,12.6,12.6
48,12.6,12.6
49,12.6,12.6
50,12.6,12.6
51,12.6,12.6
52,12.6,12.6
53,12.6,12.6
54,12.6,12.6
55,12.6,12.6
56,12.6,12.6
57,12.6,12.6
58,12.6,12.6
59,12.6,12.6
60,12.6,12.6
61,12.6,12.6
62,12.6,12.6
63,12.6,12.6
64,12.6,12.6
65,12.6,12.6
66,12.6,12.6
67,12.6,12.6
68,12.6,12.6
69,12.6,12.6
70,12.6,12.6
71,12.6,12.6
72,12.6,12.6
73,12.6,12.6
74,12.6,12.6
75,12.6,12.6
76,12.6,12.6
77,12.6,12.6
78,12.6,12.6
79,12.6,12.6
80,12.6,12.6
81,12.6,12.6
82,12.6,12.6
83,12.6,12.6
84,12.6,12.6
85,12.6,12.6
86,12.6,12.6
87,12.6,12.6
88,12.6,12.6
89,12.6,12.6
90,12.6,12.6
91,12.6,12.6
92,12.6,12.6
93,12.6,12.6
94,12.6,12.6
95,12.6,12.6
96,12.6,12.6
97,12.6,12.6
98,12.6,12.6
99,12.6,12.6
100,12.6,12.6
101,12.6,12.6
102,12.6,12.6
103,12.6,12.6
104,12.6,12.6
105,12.6,12.6
106,12.6,12.6
107,12.6,12.6
108,12.6,12.6
109,12.6,12.6
110,12.6,12.6
