Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,0.27,0.27
18,0.27,0.27
19,0.27,0.27
20,0.27,0.27
21,0.27,0.27
22,0.27,0.27
23,0.27,0.27
24,0.27,0.27
25,0.27,0.27
26,0.27,0.27
27,0.27,0.27
28,0.27,0.27
29,0.27,0.27
30,0.27,0.27
31,0.27,0.27
32,0.27,0.27
33,0.27,0.27
34,0.27,0.27
35,0.27,0.27
36,0.27,0.27
37,0.27,0.27
38,0.27,0.27
39,0.27,0.27
40,0.27,0.27
41,0.27,0.27
42,0.27,0.27
43,0.27,0.27
44,0.27,0.27
45,0.27,0.27
46,0.27,0.27
47,0.27,0.27
48,0.27,0.27
49,0.27,0.27
50,0.27,0.27
51,0.27,0.27
52,0.27,0.27
53,0.27,0.27
54,0.27,0.27
55,0.27,0.27
56,0.27,0.27
57,0.27,0.27
58,0.27,0.27
59,0.27,0.27
60,0.27,0.27
61,0.27,0.27
62,0.27,0.27
63,0.27,0.27
64,0.27,0.27
65,0.27,0.27
66,0.27,0.27
67,0.27,0.27
68,0.27,0.27
69,0.27,0.27
70,0.27,0.27
71,0.27,0.27
72,0.27,0.27
73,0.27,0.27
74,0.27,0.27
75,0.27,0.27
76,0.27,0.27
77,0.27,0.27
78,0.27,0.27
79,0.27,0.27
80,0.27,0.27
81,0.27,0.27
82,0.27,0.27
83,0.27,0.27
84,0.27,0.27
85,0.27,0.27
86,0.27,0.27
87,0.27,0.27
88,0.27,0.27
89,0.27,0.27
90,0.27,0.27
91,0.27,0.27
92,0.27,0.27
93,0.27,0.27
94,0.27,0.27
95,0.27,0.27
96,0.27,0.27
97,0.27,0.27
98,0.27,0.27
99,0.27,0.27
100,0.27,0.27
101,0.27,0.27
102,0.27,0.27
103,0.27,0.27
104,0.27,0.27
105,0.27,0.27
106,0.27,0.27
107,0.27,0.27
108,0.27,0.27
109,0.27,0.27
