Age,Male,Female
0,0.79,0.79
1,0.79,0.79
2,0.79,0.79
3,0.79,0.79
4,0.79,0.79
5,0.79,0.79
6,0.79,0.79
7,0.79,0.79
8,0.79,0.79
9,0.79,0.79
10,0.79,0.79
11,0.79,0.79
12,0.79,0.79
13,0.79,0.79
14,0.79,0.79
15,0.79,0.79
16,0.79,0.79
17,0.79,0.79
18,0.79,0.79
19,0.79,0.79
20,0.79,0.79
21,0.79,0.79
22,0.79,0.79
23,0.79,0.79
24,0.79,0.79
25,0.79,0.79
26,0.79,0.79
27,0.79,0.79
28,0.79,0.79
29,0.79,0.79
30,0.79,0.79
31,0.79,0.79
32,0.79,0.79
33,0.79,0.79
34,0.79,0.79
35,0.79,0.79
36,0.79,0.79
37,0.79,0.79
38,0.79,0.79
39,0.79,0.79
40,0.79,0.79
41,0.79,0.79
42,0.79,0.79
43,0.79,0.79
44,0.79,0.79
45,0.79,0.79
46,0.79,0.79
47,0.79,0.79
48,0.79,0.79
49,0.79,0.79
50,0.79,0.79
51,0.79,0.79
52,0.79,0.79
53,0.79,0.79
54,0.79,0.79
55,0.79,0.79
56,0.79,0.79
57,0.79,0.79
58,0.79,0.79
59,0.79,0.79
60,0.79,0.79
61,0.79,0.79
62,0.79,0.79
63,0.79,0.79
64,0.79,0.79
65,0.79,0.79
66,0.79,0.79
67,0.79,0.79
68,0.79,0.79
69,0.79,0.79
70,0.79,0.79
71,0.79,0.79
72,0.79,0.79
73,0.79,0.79
74,0.79,0.79
75,0.79,0.79
76,0.79,0.79
77,0.79,0.79
78,0.79,0.79
79,0.79,0.79
80,0.79,0.79
81,0.79,0.79
82,0.79,0.79
83,0.79,0.79
84,0.79,0.79
85,0.79,0.79
86,0.79,0.79
87,0.79,0.79
88,0.79,0.79
89,0.79,0.79
90,0.79,0.79
91,0.79,0.79
92,0.79,0.79
93,0.79,0.79
94,0.79,0.79
95,0.79,0.79
96,0.79,0.79
97,0.79,0.79
98,0.79,0.79
99,0.79,0.79
100,0.79,0.79
101,0.79,0.79
102,0.79,0.79
103,0.79,0.79
104,0.79,0.79
105,0.79,0.79
106,0.79,0.79
107,0.79,0.79
108,0.79,0.79
109,0.79,0.79
110,0.79,0.79
