Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1.607,1.607
18,1.607,1.607
19,1.607,1.607
20,1.607,1.607
21,1.607,1.607
22,1.607,1.607
23,1.607,1.607
24,1.607,1.607
25,1.607,1.607
26,1.607,1.607
27,1.607,1.607
28,1.607,1.607
29,1.607,1.607
30,1.607,1.607
31,1.607,1.607
32,1.607,1.607
33,1.607,1.607
34,1.607,1.607
35,1.607,1.607
36,1.607,1.607
37,1.607,1.607
38,1.607,1.607
39,1.607,1.607
40,1.607,1.607
41,1.607,1.607
42,1.607,1.607
43,1.607,1.607
44,1.607,1.607
45,1.607,1.607
46,1.607,1.607
47,1.607,1.607
48,1.607,1.607
49,1.607,1.607
50,1.607,1.607
51,1.607,1.607
52,1.607,1.607
53,1.607,1.607
54,1.607,1.607
55,1.607,1.607
56,1.607,1.607
57,1.607,1.607
58,1.607,1.607
59,1.607,1.607
60,1.607,1.607
61,1.607,1.607
62,1.607,1.607
63,1.607,1.607
64,1.607,1.607
65,1.607,1.607
66,1.607,1.607
67,1.607,1.607
68,1.607,1.607
69,1.607,1.607
70,1.607,1.607
71,1.607,1.607
72,1.607,1.607
73,1.607,1.607
74,1.607,1.607
75,1.607,1.607
76,1.607,1.607
77,1.607,1.607
78,1.607,1.607
79,1.607,1.607
80,1.607,1.607
81,1.607,1.607
82,1.607,1.607
83,1.607,1.607
84,1.607,1.607
85,1.607,1.607
86,1.607,1.607
87,1.607,1.607
88,1.607,1.607
89,1.607,1.607
90,1.607,1.607
91,1.607,1.607
92,1.607,1.607
93,1.607,1.607
94,1.607,1.607
95,1.607,1.607
96,1.607,1.607
97,1.607,1.607
98,1.607,1.607
99,1.607,1.607
100,1.607,1.607
101,1.607,1.607
102,1.607,1.607
103,1.607,1.607
104,1.607,1.607
105,1.607,1.607
106,1.607,1.607
107,1.607,1.607
108,1.607,1.607
109,1.607,1.607
