Age,Male,Female
0,2.51,2.51
1,2.51,2.51
2,2.51,2.51
3,2.51,2.51
4,2.51,2.51
5,2.51,2.51
6,2.51,2.51
7,2.51,2.51
8,2.51,2.51
9,2.51,2.51
10,2.51,2.51
11,2.51,2.51
12,2.51,2.51
13,2.51,2.51
14,2.51,2.51
15,2.51,2.51
16,2.51,2.51
17,2.51,2.51
18,2.51,2.51
19,2.51,2.51
20,2.51,2.51
21,2.51,2.51
22,2.51,2.51
23,2.51,2.51
24,2.51,2.51
25,2.51,2.51
26,2.51,2.51
27,2.51,2.51
28,2.51,2.51
29,2.51,2.51
30,2.51,2.51
31,2.51,2.51
32,2.51,2.51
33,2.51,2.51
34,2.51,2.51
35,2.51,2.51
36,2.51,2.51
37,2.51,2.51
38,2.51,2.51
39,2.51,2.51
40,2.51,2.51
41,2.51,2.51
42,2.51,2.51
43,2.51,2.51
44,2.51,2.51
45,2.51,2.51
46,2.51,2.51
47,2.51,2.51
48,2.51,2.51
49,2.51,2.51
50,2.51,2.51
51,2.51,2.51
52,2.51,2.51
53,2.51,2.51
54,2.51,2.51
55,2.51,2.51
56,2.51,2.51
57,2.51,2.51
58,2.51,2.51
59,2.51,2.51
60,2.51,2.51
61,2.51,2.51
62,2.51,2.51
63,2.51,2.51
64,2.51,2.51
65,2.51,2.51
66,2.51,2.51
67,2.51,2.51
68,2.51,2.51
69,2.51,2.51
70,2.51,2.51
71,2.51,2.51
72,2.51,2.51
73,2.51,2.51
74,2.51,2.51
75,2.51,2.51
76,2.51,2.51
77,2.51,2.51
78,2.51,2.51
79,2.51,2.51
80,2.51,2.51
81,2.51,2.51
82,2.51,2.51
83,2.51,2.51
84,2.51,2.51
85,2.51,2.51
86,2.51,2.51
87,2.51,2.51
88,2.51,2.51
89,2.51,2.51
90,2.51,2.51
91,2.51,2.51
92,2.51,2.51
93,2.51,2.51
94,2.51,2.51
95,2.51,2.51
96,2.51,2.51
97,2.51,2.51
98,2.51,2.51
99,2.51,2.51
100,2.51,2.51
101,2.51,2.51
102,2.51,2.51
103,2.51,2.51
104,2.51,2.51
105,2.51,2.51
106,2.51,2.51
107,2.51,2.51
108,2.51,2.51
109,2.51,2.51
110,2.51,2.51
