Age,Male,Female
0,1.31,1.31
1,1.31,1.31
2,1.31,1.31
3,1.31,1.31
4,1.31,1.31
5,1.31,1.31
6,1.31,1.31
7,1.31,1.31
8,1.31,1.31
9,1.31,1.31
10,1.31,1.31
11,1.31,1.31
12,1.31,1.31
13,1.31,1.31
14,1.31,1.31
15,1.31,1.31
16,1.31,1.31
17,1.31,1.31
18,1.31,1.31
19,1.31,1.31
20,1.31,1.31
21,1.31,1.31
22,1.31,1.31
23,1.31,1.31
24,1.31,1.31
25,1.31,1.31
26,1.31,1.31
27,1.31,1.31
28,1.31,1.31
29,1.31,1.31
30,1.31,1.31
31,1.31,1.31
32,1.31,1.31
33,1.31,1.31
34,1.31,1.31
35,1.31,1.31
36,1.31,1.31
37,1.31,1.31
38,1.31,1.31
39,1.31,1.31
40,1.31,1.31
41,1.31,1.31
42,1.31,1.31
43,1.31,1.31
44,1.31,1.31
45,1.31,1.31
46,1.31,1.31
47,1.31,1.31
48,1.31,1.31
49,1.31,1.31
50,1.31,1.31
51,1.31,1.31
52,1.31,1.31
53,1.31,1.31
54,1.31,1.31
55,1.31,1.31
56,1.31,1.31
57,1.31,1.31
58,1.31,1.31
59,1.31,1.31
60,1.31,1.31
61,1.31,1.31
62,1.31,1.31
63,1.31,1.31
64,1.31,1.31
65,1.31,1.31
66,1.31,1.31
67,1.31,1.31
68,1.31,1.31
69,1.31,1.31
70,1.31,1.31
71,1.31,1.31
72,1.31,1.31
73,1.31,1.31
74,1.31,1.31
75,1.31,1.31
76,1.31,1.31
77,1.31,1.31
78,1.31,1.31
79,1.31,1.31
80,1.31,1.31
81,1.31,1.31
82,1.31,1.31
83,1.31,1.31
84,1.31,1.31
85,1.31,1.31
86,1.31,1.31
87,1.31,1.31
88,1.31,1.31
89,1.31,1.31
90,1.31,1.31
91,1.31,1.31
92,1.31,1.31
93,1.31,1.31
94,1.31,1.31
95,1.31,1.31
96,1.31,1.31
97,1.31,1.31
98,1.31,1.31
99,1.31,1.31
100,1.31,1.31
101,1.31,1.31
102,1.31,1.31
103,1.31,1.31
104,1.31,1.31
105,1.31,1.31
106,1.31,1.31
107,1.31,1.31
108,1.31,1.31
109,1.31,1.31
110,1.31,1.31
