Age,Male,Female
0,1.26,1.26
1,1.26,1.26
2,1.26,1.26
3,1.26,1.26
4,1.26,1.26
5,1.26,1.26
6,1.26,1.26
7,1.26,1.26
8,1.26,1.26
9,1.26,1.26
10,1.26,1.26
11,1.26,1.26
12,1.26,1.26
13,1.26,1.26
14,1.26,1.26
15,1.26,1.26
16,1.26,1.26
17,1.26,1.26
18,1.26,1.26
19,1.26,1.26
20,1.26,1.26
21,1.26,1.26
22,1.26,1.26
23,1.26,1.26
24,1.26,1.26
25,1.26,1.26
26,1.26,1.26
27,1.26,1.26
28,1.26,1.26
29,1.26,1.26
30,1.26,1.26
31,1.26,1.26
32,1.26,1.26
33,1.26,1.26
34,1.26,1.26
35,1.26,1.26
36,1.26,1.26
37,1.26,1.26
38,1.26,1.26
39,1.26,1.26
40,1.26,1.26
41,1.26,1.26
42,1.26,1.26
43,1.26,1.26
44,1.26,1.26
45,1.26,1.26
46,1.26,1.26
47,1.26,1.26
48,1.26,1.26
49,1.26,1.26
50,1.26,1.26
51,1.26,1.26
52,1.26,1.26
53,1.26,1.26
54,1.26,1.26
55,1.26,1.26
56,1.26,1.26
57,1.26,1.26
58,1.26,1.26
59,1.26,1.26
60,1.26,1.26
61,1.26,1.26
62,1.26,1.26
63,1.26,1.26
64,1.26,1.26
65,1.26,1.26
66,1.26,1.26
67,1.26,1.26
68,1.26,1.26
69,1.26,1.26
70,1.26,1.26
71,1.26,1.26
72,1.26,1.26
73,1.26,1.26
74,1.26,1.26
75,1.26,1.26
76,1.26,1.26
77,1.26,1.26
78,1.26,1.26
79,1.26,1.26
80,1.26,1.26
81,1.26,1.26
82,1.26,1.26
83,1.26,1.26
84,1.26,1.26
85,1.26,1.26
86,1.26,1.26
87,1.26,1.26
88,1.26,1.26
89,1.26,1.26
90,1.26,1.26
91,1.26,1.26
92,1.26,1.26
93,1.26,1.26
94,1.26,1.26
95,1.26,1.26
96,1.26,1.26
97,1.26,1.26
98,1.26,1.26
99,1.26,1.26
100,1.26,1.26
101,1.26,1.26
102,1.26,1.26
103,1.26,1.26
104,1.26,1.26
105,1.26,1.26
106,1.26,1.26
107,1.26,1.26
108,1.26,1.26
109,1.26,1.26
110,1.26,1.26
