Age,Male,Female
0,2.14,2.14
1,2.14,2.14
2,2.14,2.14
3,2.14,2.14
4,2.14,2.14
5,2.14,2.14
6,2.14,2.14
7,2.14,2.14
8,2.14,2.14
9,2.14,2.14
10,2.14,2.14
11,2.14,2.14
12,2.14,2.14
13,2.14,2.14
14,2.14,2.14
15,2.14,2.14
16,2.14,2.14
17,2.14,2.14
18,2.14,2.14
19,2.14,2.14
20,2.14,2.14
21,2.14,2.14
22,2.14,2.14
23,2.14,2.14
24,2.14,2.14
25,2.14,2.14
26,2.14,2.14
27,2.14,2.14
28,2.14,2.14
29,2.14,2.14
30,2.14,2.14
31,2.14,2.14
32,2.14,2.14
33,2.14,2.14
34,2.14,2.14
35,2.14,2.14
36,2.14,2.14
37,2.14,2.14
38,2.14,2.14
39,2.14,2.14
40,1.66,1.66
41,1.66,1.66
42,1.66,1.66
43,1.66,1.66
44,1.66,1.66
45,1.66,1.66
46,1.66,1.66
47,1.66,1.66
48,1.66,1.66
49,1.66,1.66
50,1.66,1.66
51,1.66,1.66
52,1.66,1.66
53,1.66,1.66
54,1.66,1.66
55,1.53,1.53
56,1.53,1.53
57,1.53,1.53
58,1.53,1.53
59,1.53,1.53
60,1.53,1.53
61,1.53,1.53
62,1.53,1.53
63,1.53,1.53
64,1.53,1.53
65,1.53,1.53
66,1.53,1.53
67,1.53,1.53
68,1.53,1.53
69,1.53,1.53
70,1.53,1.53
71,1.53,1.53
72,1.53,1.53
73,1.53,1.53
74,1.53,1.53
75,1.53,1.53
76,1.53,1.53
77,1.53,1.53
78,1.53,1.53
79,1.53,1.53
80,1.53,1.53
81,1.53,1.53
82,1.53,1.53
83,1.53,1.53
84,1.53,1.53
85,1.53,1.53
86,1.53,1.53
87,1.53,1.53
88,1.53,1.53
89,1.53,1.53
90,1.53,1.53
91,1.53,1.53
92,1.53,1.53
93,1.53,1.53
94,1.53,1.53
95,1.53,1.53
96,1.53,1.53
97,1.53,1.53
98,1.53,1.53
99,1.53,1.53
100,1.53,1.53
101,1.53,1.53
102,1.53,1.53
103,1.53,1.53
104,1.53,1.53
105,1.53,1.53
106,1.53,1.53
107,1.53,1.53
108,1.53,1.53
109,1.53,1.53
110,1.53,1.53
