Age,Male,Female
0,1.05,1.05
1,1.05,1.05
2,1.05,1.05
3,1.05,1.05
4,1.05,1.05
5,1.05,1.05
6,1.05,1.05
7,1.05,1.05
8,1.05,1.05
9,1.05,1.05
10,1.05,1.05
11,1.05,1.05
12,1.05,1.05
13,1.05,1.05
14,1.05,1.05
15,1.05,1.05
16,1.05,1.05
17,1.05,1.05
18,1.05,1.05
19,1.05,1.05
20,1.05,1.05
21,1.05,1.05
22,1.05,1.05
23,1.05,1.05
24,1.05,1.05
25,1.05,1.05
26,1.05,1.05
27,1.05,1.05
28,1.05,1.05
29,1.05,1.05
30,1.05,1.05
31,1.05,1.05
32,1.05,1.05
33,1.05,1.05
34,1.05,1.05
35,1.05,1.05
36,1.05,1.05
37,1.05,1.05
38,1.05,1.05
39,1.05,1.05
40,1.05,1.05
41,1.05,1.05
42,1.05,1.05
43,1.05,1.05
44,1.05,1.05
45,1.05,1.05
46,1.05,1.05
47,1.05,1.05
48,1.05,1.05
49,1.05,1.05
50,1.05,1.05
51,1.05,1.05
52,1.05,1.05
53,1.05,1.05
54,1.05,1.05
55,1.05,1.05
56,1.05,1.05
57,1.05,1.05
58,1.05,1.05
59,1.05,1.05
60,1.05,1.05
61,1.05,1.05
62,1.05,1.05
63,1.05,1.05
64,1.05,1.05
65,1.05,1.05
66,1.05,1.05
67,1.05,1.05
68,1.05,1.05
69,1.05,1.05
70,1.05,1.05
71,1.05,1.05
72,1.05,1.05
73,1.05,1.05
74,1.05,1.05
75,1.05,1.05
76,1.05,1.05
77,1.05,1.05
78,1.05,1.05
79,1.05,1.05
80,1.05,1.05
81,1.05,1.05
82,1.05,1.05
83,1.05,1.05
84,1.05,1.05
85,1.05,1.05
86,1.05,1.05
87,1.05,1.05
88,1.05,1.05
89,1.05,1.05
90,1.05,1.05
91,1.05,1.05
92,1.05,1.05
93,1.05,1.05
94,1.05,1.05
95,1.05,1.05
96,1.05,1.05
97,1.05,1.05
98,1.05,1.05
99,1.05,1.05
100,1.05,1.05
101,1.05,1.05
102,1.05,1.05
103,1.05,1.05
104,1.05,1.05
105,1.05,1.05
106,1.05,1.05
107,1.05,1.05
108,1.05,1.05
109,1.05,1.05
110,1.05,1.05
