Age,Male,Female
0,1.65,1.65
1,1.65,1.65
2,1.65,1.65
3,1.65,1.65
4,1.65,1.65
5,1.65,1.65
6,1.65,1.65
7,1.65,1.65
8,1.65,1.65
9,1.65,1.65
10,1.65,1.65
11,1.65,1.65
12,1.65,1.65
13,1.65,1.65
14,1.65,1.65
15,1.65,1.65
16,1.65,1.65
17,1.65,1.65
18,1.65,1.65
19,1.65,1.65
20,1.65,1.65
21,1.65,1.65
22,1.65,1.65
23,1.65,1.65
24,1.65,1.65
25,1.65,1.65
26,1.65,1.65
27,1.65,1.65
28,1.65,1.65
29,1.65,1.65
30,1.65,1.65
31,1.65,1.65
32,1.65,1.65
33,1.65,1.65
34,1.65,1.65
35,1.65,1.65
36,1.65,1.65
37,1.65,1.65
38,1.65,1.65
39,1.65,1.65
40,1.65,1.65
41,1.65,1.65
42,1.65,1.65
43,1.65,1.65
44,1.65,1.65
45,1.65,1.65
46,1.65,1.65
47,1.65,1.65
48,1.65,1.65
49,1.65,1.65
50,1.65,1.65
51,1.65,1.65
52,1.65,1.65
53,1.65,1.65
54,1.65,1.65
55,1.65,1.65
56,1.65,1.65
57,1.65,1.65
58,1.65,1.65
59,1.65,1.65
60,1.65,1.65
61,1.65,1.65
62,1.65,1.65
63,1.65,1.65
64,1.65,1.65
65,1.65,1.65
66,1.65,1.65
67,1.65,1.65
68,1.65,1.65
69,1.65,1.65
70,1.65,1.65
71,1.65,1.65
72,1.65,1.65
73,1.65,1.65
74,1.65,1.65
75,1.65,1.65
76,1.65,1.65
77,1.65,1.65
78,1.65,1.65
79,1.65,1.65
80,1.65,1.65
81,1.65,1.65
82,1.65,1.65
83,1.65,1.65
84,1.65,1.65
85,1.65,1.65
86,1.65,1.65
87,1.65,1.65
88,1.65,1.65
89,1.65,1.65
90,1.65,1.65
91,1.65,1.65
92,1.65,1.65
93,1.65,1.65
94,1.65,1.65
95,1.65,1.65
96,1.65,1.65
97,1.65,1.65
98,1.65,1.65
99,1.65,1.65
100,1.65,1.65
101,1.65,1.65
102,1.65,1.65
103,1.65,1.65
104,1.65,1.65
105,1.65,1.65
106,1.65,1.65
107,1.65,1.65
108,1.65,1.65
109,1.65,1.65
110,1.65,1.65
