location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Ovary cancer,2019,,,1,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,1,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,1,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,1,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,1,,2,Female,5,prevalence,8.10E-06,8.10E-06,8.10E-06
D356,India,Ovary cancer,2019,,,1,,2,Female,6,incidence,1.21E-06,1.21E-06,1.21E-06
D356,India,Ovary cancer,2019,,,1,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,1,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,2,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,2,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,2,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,2,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,2,,2,Female,5,prevalence,8.85E-06,8.85E-06,8.85E-06
D356,India,Ovary cancer,2019,,,2,,2,Female,6,incidence,1.32E-06,1.32E-06,1.32E-06
D356,India,Ovary cancer,2019,,,2,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,2,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,3,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,3,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,3,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,3,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,3,,2,Female,5,prevalence,9.96E-06,9.96E-06,9.96E-06
D356,India,Ovary cancer,2019,,,3,,2,Female,6,incidence,1.48E-06,1.48E-06,1.48E-06
D356,India,Ovary cancer,2019,,,3,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,3,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,4,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,4,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,4,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,4,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,4,,2,Female,5,prevalence,1.14E-05,1.14E-05,1.14E-05
D356,India,Ovary cancer,2019,,,4,,2,Female,6,incidence,1.70E-06,1.70E-06,1.70E-06
D356,India,Ovary cancer,2019,,,4,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,4,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,5,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,5,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,5,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,5,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,5,,2,Female,5,prevalence,1.31E-05,1.31E-05,1.31E-05
D356,India,Ovary cancer,2019,,,5,,2,Female,6,incidence,1.95E-06,1.95E-06,1.95E-06
D356,India,Ovary cancer,2019,,,5,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,5,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,6,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,6,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,6,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,6,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,6,,2,Female,5,prevalence,1.51E-05,1.51E-05,1.51E-05
D356,India,Ovary cancer,2019,,,6,,2,Female,6,incidence,2.25E-06,2.25E-06,2.25E-06
D356,India,Ovary cancer,2019,,,6,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,6,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,7,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,7,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,7,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,7,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,7,,2,Female,5,prevalence,1.74E-05,1.74E-05,1.74E-05
D356,India,Ovary cancer,2019,,,7,,2,Female,6,incidence,2.58E-06,2.58E-06,2.58E-06
D356,India,Ovary cancer,2019,,,7,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,7,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,8,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,8,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,8,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,8,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,8,,2,Female,5,prevalence,1.98E-05,1.98E-05,1.98E-05
D356,India,Ovary cancer,2019,,,8,,2,Female,6,incidence,2.94E-06,2.94E-06,2.94E-06
D356,India,Ovary cancer,2019,,,8,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,8,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,9,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,9,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,9,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,9,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,9,,2,Female,5,prevalence,2.25E-05,2.25E-05,2.25E-05
D356,India,Ovary cancer,2019,,,9,,2,Female,6,incidence,3.33E-06,3.33E-06,3.33E-06
D356,India,Ovary cancer,2019,,,9,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,9,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,10,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,10,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,10,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,10,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,10,,2,Female,5,prevalence,2.54E-05,2.54E-05,2.54E-05
D356,India,Ovary cancer,2019,,,10,,2,Female,6,incidence,3.75E-06,3.75E-06,3.75E-06
D356,India,Ovary cancer,2019,,,10,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,10,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,11,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,11,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,11,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,11,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,11,,2,Female,5,prevalence,2.84E-05,2.84E-05,2.84E-05
D356,India,Ovary cancer,2019,,,11,,2,Female,6,incidence,4.20E-06,4.20E-06,4.20E-06
D356,India,Ovary cancer,2019,,,11,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,11,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,12,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,12,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,12,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,12,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,12,,2,Female,5,prevalence,3.17E-05,3.17E-05,3.17E-05
D356,India,Ovary cancer,2019,,,12,,2,Female,6,incidence,4.68E-06,4.68E-06,4.68E-06
D356,India,Ovary cancer,2019,,,12,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,12,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,13,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,13,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,13,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,13,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,13,,2,Female,5,prevalence,3.51E-05,3.51E-05,3.51E-05
D356,India,Ovary cancer,2019,,,13,,2,Female,6,incidence,5.18E-06,5.18E-06,5.18E-06
D356,India,Ovary cancer,2019,,,13,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,13,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,14,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,14,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,14,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,14,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,14,,2,Female,5,prevalence,3.87E-05,3.87E-05,3.87E-05
D356,India,Ovary cancer,2019,,,14,,2,Female,6,incidence,5.71E-06,5.71E-06,5.71E-06
D356,India,Ovary cancer,2019,,,14,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,14,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,15,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,15,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,15,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,15,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,15,,2,Female,5,prevalence,4.25E-05,4.25E-05,4.25E-05
D356,India,Ovary cancer,2019,,,15,,2,Female,6,incidence,6.27E-06,6.27E-06,6.27E-06
D356,India,Ovary cancer,2019,,,15,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,15,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,16,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,16,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,16,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,16,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,16,,2,Female,5,prevalence,4.65E-05,4.65E-05,4.65E-05
D356,India,Ovary cancer,2019,,,16,,2,Female,6,incidence,6.86E-06,6.86E-06,6.86E-06
D356,India,Ovary cancer,2019,,,16,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,16,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,17,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,17,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,17,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,17,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,17,,2,Female,5,prevalence,5.07E-05,5.07E-05,5.07E-05
D356,India,Ovary cancer,2019,,,17,,2,Female,6,incidence,7.48E-06,7.48E-06,7.48E-06
D356,India,Ovary cancer,2019,,,17,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,17,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,18,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,18,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,18,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,18,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,18,,2,Female,5,prevalence,5.50E-05,5.50E-05,5.50E-05
D356,India,Ovary cancer,2019,,,18,,2,Female,6,incidence,8.13E-06,8.13E-06,8.13E-06
D356,India,Ovary cancer,2019,,,18,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,18,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,19,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,19,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,19,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,19,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,19,,2,Female,5,prevalence,5.94E-05,5.94E-05,5.94E-05
D356,India,Ovary cancer,2019,,,19,,2,Female,6,incidence,8.81E-06,8.81E-06,8.81E-06
D356,India,Ovary cancer,2019,,,19,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,19,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,20,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,20,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,20,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,20,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,20,,2,Female,5,prevalence,6.39E-05,6.39E-05,6.39E-05
D356,India,Ovary cancer,2019,,,20,,2,Female,6,incidence,9.51E-06,9.51E-06,9.51E-06
D356,India,Ovary cancer,2019,,,20,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,20,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,21,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,21,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,21,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,21,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,21,,2,Female,5,prevalence,6.85E-05,6.85E-05,6.85E-05
D356,India,Ovary cancer,2019,,,21,,2,Female,6,incidence,1.02E-05,1.02E-05,1.02E-05
D356,India,Ovary cancer,2019,,,21,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,21,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,22,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,22,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,22,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,22,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,22,,2,Female,5,prevalence,7.31E-05,7.31E-05,7.31E-05
D356,India,Ovary cancer,2019,,,22,,2,Female,6,incidence,1.10E-05,1.10E-05,1.10E-05
D356,India,Ovary cancer,2019,,,22,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,22,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,23,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,23,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,23,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,23,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,23,,2,Female,5,prevalence,7.78E-05,7.78E-05,7.78E-05
D356,India,Ovary cancer,2019,,,23,,2,Female,6,incidence,1.18E-05,1.18E-05,1.18E-05
D356,India,Ovary cancer,2019,,,23,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,23,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,24,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,24,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,24,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,24,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,24,,2,Female,5,prevalence,8.25E-05,8.25E-05,8.25E-05
D356,India,Ovary cancer,2019,,,24,,2,Female,6,incidence,1.26E-05,1.26E-05,1.26E-05
D356,India,Ovary cancer,2019,,,24,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,24,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,25,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,25,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,25,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,25,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,25,,2,Female,5,prevalence,8.74E-05,8.74E-05,8.74E-05
D356,India,Ovary cancer,2019,,,25,,2,Female,6,incidence,1.34E-05,1.34E-05,1.34E-05
D356,India,Ovary cancer,2019,,,25,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,25,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,26,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,26,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,26,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,26,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,26,,2,Female,5,prevalence,9.24E-05,9.24E-05,9.24E-05
D356,India,Ovary cancer,2019,,,26,,2,Female,6,incidence,1.43E-05,1.43E-05,1.43E-05
D356,India,Ovary cancer,2019,,,26,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,26,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,27,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,27,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,27,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,27,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,27,,2,Female,5,prevalence,9.77E-05,9.77E-05,9.77E-05
D356,India,Ovary cancer,2019,,,27,,2,Female,6,incidence,1.53E-05,1.53E-05,1.53E-05
D356,India,Ovary cancer,2019,,,27,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,27,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,28,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,28,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,28,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,28,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,28,,2,Female,5,prevalence,0.000103264,0.000103264,0.000103264
D356,India,Ovary cancer,2019,,,28,,2,Female,6,incidence,1.64E-05,1.64E-05,1.64E-05
D356,India,Ovary cancer,2019,,,28,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,28,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,29,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,29,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,29,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,29,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,29,,2,Female,5,prevalence,0.000109312,0.000109312,0.000109312
D356,India,Ovary cancer,2019,,,29,,2,Female,6,incidence,1.76E-05,1.76E-05,1.76E-05
D356,India,Ovary cancer,2019,,,29,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,29,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,30,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,30,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,30,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,30,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,30,,2,Female,5,prevalence,0.00011593,0.00011593,0.00011593
D356,India,Ovary cancer,2019,,,30,,2,Female,6,incidence,1.89E-05,1.89E-05,1.89E-05
D356,India,Ovary cancer,2019,,,30,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,30,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,31,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,31,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,31,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,31,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,31,,2,Female,5,prevalence,0.000123234,0.000123234,0.000123234
D356,India,Ovary cancer,2019,,,31,,2,Female,6,incidence,2.04E-05,2.04E-05,2.04E-05
D356,India,Ovary cancer,2019,,,31,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,31,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,32,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,32,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,32,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,32,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,32,,2,Female,5,prevalence,0.000131336,0.000131336,0.000131336
D356,India,Ovary cancer,2019,,,32,,2,Female,6,incidence,2.21E-05,2.21E-05,2.21E-05
D356,India,Ovary cancer,2019,,,32,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,32,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,33,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,33,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,33,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,33,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,33,,2,Female,5,prevalence,0.00014033,0.00014033,0.00014033
D356,India,Ovary cancer,2019,,,33,,2,Female,6,incidence,2.40E-05,2.40E-05,2.40E-05
D356,India,Ovary cancer,2019,,,33,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,33,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,34,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,34,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,34,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,34,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,34,,2,Female,5,prevalence,0.000150292,0.000150292,0.000150292
D356,India,Ovary cancer,2019,,,34,,2,Female,6,incidence,2.62E-05,2.62E-05,2.62E-05
D356,India,Ovary cancer,2019,,,34,,2,Female,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,34,,2,Female,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,35,,1,Male,5,prevalence,0,0,0
D356,India,Ovary cancer,2019,,,35,,1,Male,6,incidence,0,0,0
D356,India,Ovary cancer,2019,,,35,,1,Male,7,remission,0,0,0
D356,India,Ovary cancer,2019,,,35,,1,Male,15,mortality,0,0,0
D356,India,Ovary cancer,2019,,,35,,2,Female,5,prevalence,0.000161271,0.000161271,0.000161271
D356,India,Ovary cancer,2019,,,35,,2,Female,6,incidence,2.86E-05,2.86E-05,2.86E-05
D356,India,Ovary cancer,2019,,,35,,2,Female,7,remission,0,0,0
