Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,0.51
60,1,0.51
61,1,0.51
62,1,0.51
63,1,0.51
64,1,0.51
65,1,0.51
66,1,0.51
67,1,0.51
68,1,0.51
69,1,0.51
70,1,0.51
71,1,0.51
72,1,0.51
73,1,0.51
74,1,0.51
75,1,0.51
76,1,0.51
77,1,0.51
78,1,0.51
79,1,0.51
80,1,0.51
81,1,0.51
82,1,0.51
83,1,0.51
84,1,0.51
85,1,0.51
86,1,0.51
87,1,0.51
88,1,0.51
89,1,0.51
90,1,0.51
91,1,0.51
92,1,0.51
93,1,0.51
94,1,0.51
95,1,0.51
96,1,0.51
97,1,0.51
98,1,0.51
99,1,0.51
100,1,0.51
101,1,0.51
102,1,0.51
103,1,0.51
104,1,0.51
105,1,0.51
106,1,0.51
107,1,0.51
108,1,0.51
109,1,0.51
