Age,Male,Female
0,1,2.24
1,1,2.24
2,1,2.24
3,1,2.24
4,1,2.24
5,1,2.24
6,1,2.24
7,1,2.24
8,1,2.24
9,1,2.24
10,1,2.24
11,1,2.24
12,1,2.24
13,1,2.24
14,1,2.24
15,1,2.24
16,1,2.24
17,1,2.24
18,1,2.24
19,1,2.24
20,1,2.24
21,1,2.24
22,1,2.24
23,1,2.24
24,1,2.24
25,1,2.24
26,1,2.24
27,1,2.24
28,1,2.24
29,1,2.24
30,1,2.24
31,1,2.24
32,1,2.24
33,1,2.24
34,1,2.24
35,1,2.24
36,1,2.24
37,1,2.24
38,1,2.24
39,1,2.24
40,1,2.24
41,1,2.24
42,1,2.24
43,1,2.24
44,1,2.24
45,1,2.24
46,1,2.24
47,1,2.24
48,1,2.24
49,1,2.24
50,1,2.24
51,1,2.24
52,1,2.24
53,1,2.24
54,1,2.24
55,1,2.24
56,1,2.24
57,1,2.24
58,1,2.24
59,1,2.24
60,1,2.24
61,1,2.24
62,1,2.24
63,1,2.24
64,1,2.24
65,1,2.24
66,1,2.24
67,1,2.24
68,1,2.24
69,1,2.24
70,1,2.24
71,1,2.24
72,1,2.24
73,1,2.24
74,1,2.24
75,1,2.24
76,1,2.24
77,1,2.24
78,1,2.24
79,1,2.24
80,1,2.24
81,1,2.24
82,1,2.24
83,1,2.24
84,1,2.24
85,1,2.24
86,1,2.24
87,1,2.24
88,1,2.24
89,1,2.24
90,1,2.24
91,1,2.24
92,1,2.24
93,1,2.24
94,1,2.24
95,1,2.24
96,1,2.24
97,1,2.24
98,1,2.24
99,1,2.24
100,1,2.24
101,1,2.24
102,1,2.24
103,1,2.24
104,1,2.24
105,1,2.24
106,1,2.24
107,1,2.24
108,1,2.24
109,1,2.24
110,1,2.24
