Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,0.84
18,1,0.84
19,1,0.84
20,1,0.84
21,1,0.84
22,1,0.84
23,1,0.84
24,1,0.84
25,1,0.84
26,1,0.84
27,1,0.84
28,1,0.84
29,1,0.84
30,1,0.84
31,1,0.84
32,1,0.84
33,1,0.84
34,1,0.84
35,1,0.84
36,1,0.84
37,1,0.84
38,1,0.84
39,1,0.84
40,1,0.84
41,1,0.84
42,1,0.84
43,1,0.84
44,1,0.84
45,1,0.84
46,1,0.84
47,1,0.84
48,1,0.84
49,1,0.84
50,1,0.84
51,1,0.84
52,1,0.84
53,1,0.84
54,1,0.84
55,1,0.84
56,1,0.84
57,1,0.84
58,1,0.84
59,1,0.84
60,1,0.84
61,1,0.84
62,1,0.84
63,1,0.84
64,1,0.84
65,1,0.84
66,1,0.84
67,1,0.84
68,1,0.84
69,1,0.84
70,1,0.84
71,1,0.84
72,1,0.84
73,1,0.84
74,1,0.84
75,1,0.84
76,1,0.84
77,1,0.84
78,1,0.84
79,1,0.84
80,1,0.84
81,1,0.84
82,1,0.84
83,1,0.84
84,1,0.84
85,1,0.84
86,1,0.84
87,1,0.84
88,1,0.84
89,1,0.84
90,1,0.84
91,1,0.84
92,1,0.84
93,1,0.84
94,1,0.84
95,1,0.84
96,1,0.84
97,1,0.84
98,1,0.84
99,1,0.84
100,1,0.84
101,1,0.84
102,1,0.84
103,1,0.84
104,1,0.84
105,1,0.84
106,1,0.84
107,1,0.84
108,1,0.84
109,1,0.84
