Age,Male,Female
0,1,1.29
1,1,1.29
2,1,1.29
3,1,1.29
4,1,1.29
5,1,1.29
6,1,1.29
7,1,1.29
8,1,1.29
9,1,1.29
10,1,1.29
11,1,1.29
12,1,1.29
13,1,1.29
14,1,1.29
15,1,1.29
16,1,1.29
17,1,1.29
18,1,1.29
19,1,1.29
20,1,1.29
21,1,1.29
22,1,1.29
23,1,1.29
24,1,1.29
25,1,1.29
26,1,1.29
27,1,1.29
28,1,1.29
29,1,1.29
30,1,1.29
31,1,1.29
32,1,1.29
33,1,1.29
34,1,1.29
35,1,1.29
36,1,1.29
37,1,1.29
38,1,1.29
39,1,1.29
40,1,1.29
41,1,1.29
42,1,1.29
43,1,1.29
44,1,1.29
45,1,1.29
46,1,1.29
47,1,1.29
48,1,1.29
49,1,1.29
50,1,0.89
51,1,0.89
52,1,0.89
53,1,0.89
54,1,0.89
55,1,0.89
56,1,0.89
57,1,0.89
58,1,0.89
59,1,0.89
60,1,0.89
61,1,0.89
62,1,0.89
63,1,0.89
64,1,0.89
65,1,0.89
66,1,0.89
67,1,0.89
68,1,0.89
69,1,0.89
70,1,0.89
71,1,0.89
72,1,0.89
73,1,0.89
74,1,0.89
75,1,0.89
76,1,0.89
77,1,0.89
78,1,0.89
79,1,0.89
80,1,0.89
81,1,0.89
82,1,0.89
83,1,0.89
84,1,0.89
85,1,0.89
86,1,0.89
87,1,0.89
88,1,0.89
89,1,0.89
90,1,0.89
91,1,0.89
92,1,0.89
93,1,0.89
94,1,0.89
95,1,0.89
96,1,0.89
97,1,0.89
98,1,0.89
99,1,0.89
100,1,0.89
101,1,0.89
102,1,0.89
103,1,0.89
104,1,0.89
105,1,0.89
106,1,0.89
107,1,0.89
108,1,0.89
109,1,0.89
110,0,0.89
