Age,Male,Female
0,1,1.534
1,1,1.534
2,1,1.534
3,1,1.534
4,1,1.534
5,1,1.534
6,1,1.534
7,1,1.534
8,1,1.534
9,1,1.534
10,1,1.534
11,1,1.534
12,1,1.534
13,1,1.534
14,1,1.534
15,1,1.534
16,1,1.534
17,1,1.534
18,1,1.534
19,1,1.534
20,1,1.534
21,1,1.534
22,1,1.534
23,1,1.534
24,1,1.534
25,1,1.534
26,1,1.534
27,1,1.534
28,1,1.534
29,1,1.534
30,1,1.534
31,1,1.534
32,1,1.534
33,1,1.534
34,1,1.534
35,1,1.534
36,1,1.534
37,1,1.534
38,1,1.534
39,1,1.534
40,1,1.534
41,1,1.534
42,1,1.534
43,1,1.534
44,1,1.534
45,1,1.534
46,1,1.534
47,1,1.534
48,1,1.534
49,1,1.534
50,1,1.534
51,1,1.534
52,1,1.534
53,1,1.534
54,1,1.534
55,1,1.534
56,1,1.534
57,1,1.534
58,1,1.534
59,1,1.534
60,1,1.534
61,1,1.534
62,1,1.534
63,1,1.534
64,1,1.534
65,1,1.534
66,1,1.534
67,1,1.534
68,1,1.534
69,1,1.534
70,1,1.534
71,1,1.534
72,1,1.534
73,1,1.534
74,1,1.534
75,1,1.534
76,1,1.534
77,1,1.534
78,1,1.534
79,1,1.534
80,1,1.534
81,1,1.534
82,1,1.534
83,1,1.534
84,1,1.534
85,1,1.534
86,1,1.534
87,1,1.534
88,1,1.534
89,1,1.534
90,1,1.534
91,1,1.534
92,1,1.534
93,1,1.534
94,1,1.534
95,1,1.534
96,1,1.534
97,1,1.534
98,1,1.534
99,1,1.534
100,1,1.534
101,1,1.534
102,1,1.534
103,1,1.534
104,1,1.534
105,1,1.534
106,1,1.534
107,1,1.534
108,1,1.534
109,1,1.534
110,1,1.534
