Age,Male,Female
0,1,1.36
1,1,1.36
2,1,1.36
3,1,1.36
4,1,1.36
5,1,1.36
6,1,1.36
7,1,1.36
8,1,1.36
9,1,1.36
10,1,1.36
11,1,1.36
12,1,1.36
13,1,1.36
14,1,1.36
15,1,1.36
16,1,1.36
17,1,1.36
18,1,1.36
19,1,1.36
20,1,1.36
21,1,1.36
22,1,1.36
23,1,1.36
24,1,1.36
25,1,1.36
26,1,1.36
27,1,1.36
28,1,1.36
29,1,1.36
30,1,1.36
31,1,1.36
32,1,1.36
33,1,1.36
34,1,1.36
35,1,1.36
36,1,1.36
37,1,1.36
38,1,1.36
39,1,1.36
40,1,1.36
41,1,1.36
42,1,1.36
43,1,1.36
44,1,1.36
45,1,1.36
46,1,1.36
47,1,1.36
48,1,1.36
49,1,1.36
50,1,1.36
51,1,1.36
52,1,1.36
53,1,1.36
54,1,1.36
55,1,1.36
56,1,1.36
57,1,1.36
58,1,1.36
59,1,1.36
60,1,1.36
61,1,1.36
62,1,1.36
63,1,1.36
64,1,1.36
65,1,1.36
66,1,1.36
67,1,1.36
68,1,1.36
69,1,1.36
70,1,1.36
71,1,1.36
72,1,1.36
73,1,1.36
74,1,1.36
75,1,1.36
76,1,1.36
77,1,1.36
78,1,1.36
79,1,1.36
80,1,1.36
81,1,1.36
82,1,1.36
83,1,1.36
84,1,1.36
85,1,1.36
86,1,1.36
87,1,1.36
88,1,1.36
89,1,1.36
90,1,1.36
91,1,1.36
92,1,1.36
93,1,1.36
94,1,1.36
95,1,1.36
96,1,1.36
97,1,1.36
98,1,1.36
99,1,1.36
100,1,1.36
101,1,1.36
102,1,1.36
103,1,1.36
104,1,1.36
105,1,1.36
106,1,1.36
107,1,1.36
108,1,1.36
109,1,1.36
110,1,1.36
