Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,0.9
65,1,0.9
66,1,0.9
67,1,0.9
68,1,0.9
69,1,0.9
70,1,0.9
71,1,0.9
72,1,0.9
73,1,0.9
74,1,0.9
75,1,0.9
76,1,0.9
77,1,0.9
78,1,0.9
79,1,0.9
80,1,0.9
81,1,0.9
82,1,0.9
83,1,0.9
84,1,0.9
85,1,0.9
86,1,0.9
87,1,0.9
88,1,0.9
89,1,0.9
90,1,0.9
91,1,0.9
92,1,0.9
93,1,0.9
94,1,0.9
95,1,0.9
96,1,0.9
97,1,0.9
98,1,0.9
99,1,0.9
100,1,0.9
101,1,0.9
102,1,0.9
103,1,0.9
104,1,0.9
105,1,0.9
106,1,0.9
107,1,0.9
108,1,0.9
109,1,0.9
