location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
250,France,Pancreatic cancer,2019,5,1 to 4,1,False,1,Male,5,Prevalence,1.0570929295595531E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,2,True,1,Male,5,Prevalence,1.4958066017828983E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,3,True,1,Male,5,Prevalence,2.2152869113337817E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,4,True,1,Male,5,Prevalence,3.28689790998604E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,1,False,1,Male,6,Incidence,1.0570929295595531E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,2,True,1,Male,6,Incidence,1.3029576851644753E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,3,True,1,Male,6,Incidence,1.9539769300827193E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,4,True,1,Male,6,Incidence,2.920218871594762E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,1,True,1,Male,7,remission,0,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,2,True,1,Male,7,remission,0,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,3,True,1,Male,7,remission,0,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,4,True,1,Male,7,remission,0,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,1,True,1,Male,15,mortality,0.8119599918956367,0.9686752769080307,0.9686752769080307
250,France,Pancreatic cancer,2019,5,1 to 4,2,True,1,Male,15,mortality,0.8175667200117885,0.9584385184039419,0.9584385184039419
250,France,Pancreatic cancer,2019,5,1 to 4,3,True,1,Male,15,mortality,0.8253049490707457,0.9489121068704824,0.9489121068704824
250,France,Pancreatic cancer,2019,5,1 to 4,4,True,1,Male,15,mortality,0.8344778271353873,0.9400792956540616,0.9400792956540616
250,France,Pancreatic cancer,2019,5,1 to 4,1,False,2,Female,5,Prevalence,1.0415432388600205E-08,0,0
250,France,Pancreatic cancer,2019,5,1 to 4,2,True,2,Female,5,Prevalence,1.4820893582120767E-08,0,0
