location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Pancreas cancer,2019,,,1,,1,Male,5,prevalence,5.85E-09,5.85E-09,5.85E-09
D356,India,Pancreas cancer,2019,,,1,,1,Male,6,incidence,2.98E-09,2.98E-09,2.98E-09
D356,India,Pancreas cancer,2019,,,1,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,1,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,1,,2,Female,5,prevalence,5.82E-09,5.82E-09,5.82E-09
D356,India,Pancreas cancer,2019,,,1,,2,Female,6,incidence,2.86E-09,2.86E-09,2.86E-09
D356,India,Pancreas cancer,2019,,,1,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,1,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,2,,1,Male,5,prevalence,8.28E-09,8.28E-09,8.28E-09
D356,India,Pancreas cancer,2019,,,2,,1,Male,6,incidence,4.25E-09,4.25E-09,4.25E-09
D356,India,Pancreas cancer,2019,,,2,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,2,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,2,,2,Female,5,prevalence,8.23E-09,8.23E-09,8.23E-09
D356,India,Pancreas cancer,2019,,,2,,2,Female,6,incidence,4.07E-09,4.07E-09,4.07E-09
D356,India,Pancreas cancer,2019,,,2,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,2,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,3,,1,Male,5,prevalence,1.23E-08,1.23E-08,1.23E-08
D356,India,Pancreas cancer,2019,,,3,,1,Male,6,incidence,6.33E-09,6.33E-09,6.33E-09
D356,India,Pancreas cancer,2019,,,3,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,3,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,3,,2,Female,5,prevalence,1.22E-08,1.22E-08,1.22E-08
D356,India,Pancreas cancer,2019,,,3,,2,Female,6,incidence,6.06E-09,6.06E-09,6.06E-09
D356,India,Pancreas cancer,2019,,,3,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,3,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,4,,1,Male,5,prevalence,1.82E-08,1.82E-08,1.82E-08
D356,India,Pancreas cancer,2019,,,4,,1,Male,6,incidence,9.46E-09,9.46E-09,9.46E-09
D356,India,Pancreas cancer,2019,,,4,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,4,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,4,,2,Female,5,prevalence,1.81E-08,1.81E-08,1.81E-08
D356,India,Pancreas cancer,2019,,,4,,2,Female,6,incidence,9.04E-09,9.04E-09,9.04E-09
D356,India,Pancreas cancer,2019,,,4,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,4,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,5,,1,Male,5,prevalence,2.66E-08,2.66E-08,2.66E-08
D356,India,Pancreas cancer,2019,,,5,,1,Male,6,incidence,1.39E-08,1.39E-08,1.39E-08
D356,India,Pancreas cancer,2019,,,5,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,5,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,5,,2,Female,5,prevalence,2.64E-08,2.64E-08,2.64E-08
D356,India,Pancreas cancer,2019,,,5,,2,Female,6,incidence,1.33E-08,1.33E-08,1.33E-08
D356,India,Pancreas cancer,2019,,,5,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,5,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,6,,1,Male,5,prevalence,3.80E-08,3.80E-08,3.80E-08
D356,India,Pancreas cancer,2019,,,6,,1,Male,6,incidence,2.01E-08,2.01E-08,2.01E-08
D356,India,Pancreas cancer,2019,,,6,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,6,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,6,,2,Female,5,prevalence,3.76E-08,3.76E-08,3.76E-08
D356,India,Pancreas cancer,2019,,,6,,2,Female,6,incidence,1.91E-08,1.91E-08,1.91E-08
D356,India,Pancreas cancer,2019,,,6,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,6,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,7,,1,Male,5,prevalence,5.30E-08,5.30E-08,5.30E-08
D356,India,Pancreas cancer,2019,,,7,,1,Male,6,incidence,2.83E-08,2.83E-08,2.83E-08
D356,India,Pancreas cancer,2019,,,7,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,7,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,7,,2,Female,5,prevalence,5.24E-08,5.24E-08,5.24E-08
D356,India,Pancreas cancer,2019,,,7,,2,Female,6,incidence,2.69E-08,2.69E-08,2.69E-08
D356,India,Pancreas cancer,2019,,,7,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,7,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,8,,1,Male,5,prevalence,7.22E-08,7.22E-08,7.22E-08
D356,India,Pancreas cancer,2019,,,8,,1,Male,6,incidence,3.90E-08,3.90E-08,3.90E-08
D356,India,Pancreas cancer,2019,,,8,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,8,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,8,,2,Female,5,prevalence,7.14E-08,7.14E-08,7.14E-08
D356,India,Pancreas cancer,2019,,,8,,2,Female,6,incidence,3.71E-08,3.71E-08,3.71E-08
D356,India,Pancreas cancer,2019,,,8,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,8,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,9,,1,Male,5,prevalence,9.62E-08,9.62E-08,9.62E-08
D356,India,Pancreas cancer,2019,,,9,,1,Male,6,incidence,5.25E-08,5.25E-08,5.25E-08
D356,India,Pancreas cancer,2019,,,9,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,9,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,9,,2,Female,5,prevalence,9.51E-08,9.51E-08,9.51E-08
D356,India,Pancreas cancer,2019,,,9,,2,Female,6,incidence,4.99E-08,4.99E-08,4.99E-08
D356,India,Pancreas cancer,2019,,,9,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,9,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,10,,1,Male,5,prevalence,1.25E-07,1.25E-07,1.25E-07
D356,India,Pancreas cancer,2019,,,10,,1,Male,6,incidence,6.95E-08,6.95E-08,6.95E-08
D356,India,Pancreas cancer,2019,,,10,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,10,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,10,,2,Female,5,prevalence,1.24E-07,1.24E-07,1.24E-07
D356,India,Pancreas cancer,2019,,,10,,2,Female,6,incidence,6.59E-08,6.59E-08,6.59E-08
D356,India,Pancreas cancer,2019,,,10,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,10,,2,Female,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,11,,1,Male,5,prevalence,1.60E-07,1.60E-07,1.60E-07
D356,India,Pancreas cancer,2019,,,11,,1,Male,6,incidence,9.01E-08,9.01E-08,9.01E-08
D356,India,Pancreas cancer,2019,,,11,,1,Male,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,11,,1,Male,15,mortality,0,0,0
D356,India,Pancreas cancer,2019,,,11,,2,Female,5,prevalence,1.58E-07,1.58E-07,1.58E-07
D356,India,Pancreas cancer,2019,,,11,,2,Female,6,incidence,8.54E-08,8.54E-08,8.54E-08
D356,India,Pancreas cancer,2019,,,11,,2,Female,7,remission,0,0,0
D356,India,Pancreas cancer,2019,,,11,,2,Female,15,mortality,0,0,0
