Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,0.6,0.5
60,0.6,0.5
61,0.6,0.5
62,0.6,0.5
63,0.6,0.5
64,0.6,0.5
65,0.6,0.5
66,0.6,0.5
67,0.6,0.5
68,0.6,0.5
69,0.6,0.5
70,0.6,0.5
71,0.6,0.5
72,0.6,0.5
73,0.6,0.5
74,0.6,0.5
75,0.6,0.5
76,0.6,0.5
77,0.6,0.5
78,0.6,0.5
79,0.6,0.5
80,0.6,0.5
81,0.6,0.5
82,0.6,0.5
83,0.6,0.5
84,0.6,0.5
85,0.6,0.5
86,0.6,0.5
87,0.6,0.5
88,0.6,0.5
89,0.6,0.5
90,0.6,0.5
91,0.6,0.5
92,0.6,0.5
93,0.6,0.5
94,0.6,0.5
95,0.6,0.5
96,0.6,0.5
97,0.6,0.5
98,0.6,0.5
99,0.6,0.5
100,0.6,0.5
101,0.6,0.5
102,0.6,0.5
103,0.6,0.5
104,0.6,0.5
105,0.6,0.5
106,0.6,0.5
107,0.6,0.5
108,0.6,0.5
109,0.6,0.5
