Age,Male,Female
0,0.48,0.48
1,0.48,0.48
2,0.48,0.48
3,0.48,0.48
4,0.48,0.48
5,0.48,0.48
6,0.48,0.48
7,0.48,0.48
8,0.48,0.48
9,0.48,0.48
10,0.48,0.48
11,0.48,0.48
12,0.48,0.48
13,0.48,0.48
14,0.48,0.48
15,0.48,0.48
16,0.48,0.48
17,0.48,0.48
18,0.48,0.48
19,0.48,0.48
20,0.48,0.48
21,0.48,0.48
22,0.48,0.48
23,0.48,0.48
24,0.48,0.48
25,0.48,0.48
26,0.48,0.48
27,0.48,0.48
28,0.48,0.48
29,0.48,0.48
30,0.48,0.48
31,0.48,0.48
32,0.48,0.48
33,0.48,0.48
34,0.48,0.48
35,0.48,0.48
36,0.48,0.48
37,0.48,0.48
38,0.48,0.48
39,0.48,0.48
40,0.48,0.48
41,0.48,0.48
42,0.48,0.48
43,0.48,0.48
44,0.48,0.48
45,0.48,0.48
46,0.48,0.48
47,0.48,0.48
48,0.48,0.48
49,0.48,0.48
50,0.48,0.48
51,0.48,0.48
52,0.48,0.48
53,0.48,0.48
54,0.48,0.48
55,0.48,0.48
56,0.48,0.48
57,0.48,0.48
58,0.48,0.48
59,0.48,0.48
60,0.48,0.48
61,0.48,0.48
62,0.48,0.48
63,0.48,0.48
64,0.48,0.48
65,0.48,0.48
66,0.48,0.48
67,0.48,0.48
68,0.48,0.48
69,0.48,0.48
70,0.48,0.48
71,0.48,0.48
72,0.48,0.48
73,0.48,0.48
74,0.48,0.48
75,0.48,0.48
76,0.48,0.48
77,0.48,0.48
78,0.48,0.48
79,0.48,0.48
80,0.48,0.48
81,0.48,0.48
82,0.48,0.48
83,0.48,0.48
84,0.48,0.48
85,0.48,0.48
86,0.48,0.48
87,0.48,0.48
88,0.48,0.48
89,0.48,0.48
90,0.48,0.48
91,0.48,0.48
92,0.48,0.48
93,0.48,0.48
94,0.48,0.48
95,0.48,0.48
96,0.48,0.48
97,0.48,0.48
98,0.48,0.48
99,0.48,0.48
100,0.48,0.48
101,0.48,0.48
102,0.48,0.48
103,0.48,0.48
104,0.48,0.48
105,0.48,0.48
106,0.48,0.48
107,0.48,0.48
108,0.48,0.48
109,0.48,0.48
110,0.48,0.48
