Age,Male,Female
0,1,1.34
1,1,1.34
2,1,1.34
3,1,1.34
4,1,1.34
5,1,1.34
6,1,1.34
7,1,1.34
8,1,1.34
9,1,1.34
10,1,1.34
11,1,1.34
12,1,1.34
13,1,1.34
14,1,1.34
15,1,1.34
16,1,1.34
17,1,1.34
18,1,1.34
19,1,1.34
20,1,1.34
21,1,1.34
22,1,1.34
23,1,1.34
24,1,1.34
25,1,1.34
26,1,1.34
27,1,1.34
28,1,1.34
29,1,1.34
30,1,1.34
31,1,1.34
32,1,1.34
33,1,1.34
34,1,1.34
35,1,1.34
36,1,1.34
37,1,1.34
38,1,1.34
39,1,1.34
40,1,1.34
41,1,1.34
42,1,1.34
43,1,1.34
44,1,1.34
45,1,1.34
46,1,1.34
47,1,1.34
48,1,1.34
49,1,1.34
50,1,0.78
51,1,0.78
52,1,0.78
53,1,0.78
54,1,0.78
55,1,0.78
56,1,0.78
57,1,0.78
58,1,0.78
59,1,0.78
60,1,0.78
61,1,0.78
62,1,0.78
63,1,0.78
64,1,0.78
65,1,0.78
66,1,0.78
67,1,0.78
68,1,0.78
69,1,0.78
70,1,0.78
71,1,0.78
72,1,0.78
73,1,0.78
74,1,0.78
75,1,0.78
76,1,0.78
77,1,0.78
78,1,0.78
79,1,0.78
80,1,0.78
81,1,0.78
82,1,0.78
83,1,0.78
84,1,0.78
85,1,0.78
86,1,0.78
87,1,0.78
88,1,0.78
89,1,0.78
90,1,0.78
91,1,0.78
92,1,0.78
93,1,0.78
94,1,0.78
95,1,0.78
96,1,0.78
97,1,0.78
98,1,0.78
99,1,0.78
100,1,0.78
101,1,0.78
102,1,0.78
103,1,0.78
104,1,0.78
105,1,0.78
106,1,0.78
107,1,0.78
108,1,0.78
109,1,0.78
110,0,0.78
