Age,Male,Female
0,1.17,1.17
1,1.17,1.17
2,1.17,1.17
3,1.17,1.17
4,1.17,1.17
5,1.17,1.17
6,1.17,1.17
7,1.17,1.17
8,1.17,1.17
9,1.17,1.17
10,1.17,1.17
11,1.17,1.17
12,1.17,1.17
13,1.17,1.17
14,1.17,1.17
15,1.17,1.17
16,1.17,1.17
17,1.17,1.17
18,1.17,1.17
19,1.17,1.17
20,1.17,1.17
21,1.17,1.17
22,1.17,1.17
23,1.17,1.17
24,1.17,1.17
25,1.17,1.17
26,1.17,1.17
27,1.17,1.17
28,1.17,1.17
29,1.17,1.17
30,1.17,1.17
31,1.17,1.17
32,1.17,1.17
33,1.17,1.17
34,1.17,1.17
35,1.17,1.17
36,1.17,1.17
37,1.17,1.17
38,1.17,1.17
39,1.17,1.17
40,1.17,1.17
41,1.17,1.17
42,1.17,1.17
43,1.17,1.17
44,1.17,1.17
45,1.17,1.17
46,1.17,1.17
47,1.17,1.17
48,1.17,1.17
49,1.17,1.17
50,1.17,1.17
51,1.17,1.17
52,1.17,1.17
53,1.17,1.17
54,1.17,1.17
55,1.17,1.17
56,1.17,1.17
57,1.17,1.17
58,1.17,1.17
59,1.17,1.17
60,1.17,1.17
61,1.17,1.17
62,1.17,1.17
63,1.17,1.17
64,1.17,1.17
65,1.17,1.17
66,1.17,1.17
67,1.17,1.17
68,1.17,1.17
69,1.17,1.17
70,1.17,1.17
71,1.17,1.17
72,1.17,1.17
73,1.17,1.17
74,1.17,1.17
75,1.17,1.17
76,1.17,1.17
77,1.17,1.17
78,1.17,1.17
79,1.17,1.17
80,1.17,1.17
81,1.17,1.17
82,1.17,1.17
83,1.17,1.17
84,1.17,1.17
85,1.17,1.17
86,1.17,1.17
87,1.17,1.17
88,1.17,1.17
89,1.17,1.17
90,1.17,1.17
91,1.17,1.17
92,1.17,1.17
93,1.17,1.17
94,1.17,1.17
95,1.17,1.17
96,1.17,1.17
97,1.17,1.17
98,1.17,1.17
99,1.17,1.17
100,1.17,1.17
101,1.17,1.17
102,1.17,1.17
103,1.17,1.17
104,1.17,1.17
105,1.17,1.17
106,1.17,1.17
107,1.17,1.17
108,1.17,1.17
109,1.17,1.17
110,1.17,1.17
