Age,Male,Female
0,4.51,4.51
1,4.51,4.51
2,4.51,4.51
3,4.51,4.51
4,4.51,4.51
5,4.51,4.51
6,4.51,4.51
7,4.51,4.51
8,4.51,4.51
9,4.51,4.51
10,4.51,4.51
11,4.51,4.51
12,4.51,4.51
13,4.51,4.51
14,4.51,4.51
15,4.51,4.51
16,4.51,4.51
17,4.51,4.51
18,4.51,4.51
19,4.51,4.51
20,4.51,4.51
21,4.51,4.51
22,4.51,4.51
23,4.51,4.51
24,4.51,4.51
25,4.51,4.51
26,4.51,4.51
27,4.51,4.51
28,4.51,4.51
29,4.51,4.51
30,4.51,4.51
31,4.51,4.51
32,4.51,4.51
33,4.51,4.51
34,4.51,4.51
35,4.51,4.51
36,4.51,4.51
37,4.51,4.51
38,4.51,4.51
39,4.51,4.51
40,4.51,4.51
41,4.51,4.51
42,4.51,4.51
43,4.51,4.51
44,4.51,4.51
45,4.51,4.51
46,4.51,4.51
47,4.51,4.51
48,4.51,4.51
49,4.51,4.51
50,4.51,4.51
51,4.51,4.51
52,4.51,4.51
53,4.51,4.51
54,4.51,4.51
55,4.51,4.51
56,4.51,4.51
57,4.51,4.51
58,4.51,4.51
59,4.51,4.51
60,4.51,4.51
61,4.51,4.51
62,4.51,4.51
63,4.51,4.51
64,4.51,4.51
65,4.51,4.51
66,4.51,4.51
67,4.51,4.51
68,4.51,4.51
69,4.51,4.51
70,4.51,4.51
71,4.51,4.51
72,4.51,4.51
73,4.51,4.51
74,4.51,4.51
75,4.51,4.51
76,4.51,4.51
77,4.51,4.51
78,4.51,4.51
79,4.51,4.51
80,4.51,4.51
81,4.51,4.51
82,4.51,4.51
83,4.51,4.51
84,4.51,4.51
85,4.51,4.51
86,4.51,4.51
87,4.51,4.51
88,4.51,4.51
89,4.51,4.51
90,4.51,4.51
91,4.51,4.51
92,4.51,4.51
93,4.51,4.51
94,4.51,4.51
95,4.51,4.51
96,4.51,4.51
97,4.51,4.51
98,4.51,4.51
99,4.51,4.51
100,4.51,4.51
101,4.51,4.51
102,4.51,4.51
103,4.51,4.51
104,4.51,4.51
105,4.51,4.51
106,4.51,4.51
107,4.51,4.51
108,4.51,4.51
109,4.51,4.51
110,4.51,4.51
