Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1.76,1.76
18,1.76,1.76
19,1.76,1.76
20,1.76,1.76
21,1.76,1.76
22,1.76,1.76
23,1.76,1.76
24,1.76,1.76
25,1.76,1.76
26,1.76,1.76
27,1.76,1.76
28,1.76,1.76
29,1.76,1.76
30,1.76,1.76
31,1.76,1.76
32,1.76,1.76
33,1.76,1.76
34,1.76,1.76
35,1.76,1.76
36,1.76,1.76
37,1.76,1.76
38,1.76,1.76
39,1.76,1.76
40,1.76,1.76
41,1.76,1.76
42,1.76,1.76
43,1.76,1.76
44,1.76,1.76
45,1.76,1.76
46,1.76,1.76
47,1.76,1.76
48,1.76,1.76
49,1.76,1.76
50,1.76,1.76
51,1.76,1.76
52,1.76,1.76
53,1.76,1.76
54,1.76,1.76
55,1.76,1.76
56,1.76,1.76
57,1.76,1.76
58,1.76,1.76
59,1.76,1.76
60,1.76,1.76
61,1.76,1.76
62,1.76,1.76
63,1.76,1.76
64,1.76,1.76
65,1.76,1.76
66,1.76,1.76
67,1.76,1.76
68,1.76,1.76
69,1.76,1.76
70,1.76,1.76
71,1.76,1.76
72,1.76,1.76
73,1.76,1.76
74,1.76,1.76
75,1.76,1.76
76,1.76,1.76
77,1.76,1.76
78,1.76,1.76
79,1.76,1.76
80,1.76,1.76
81,1.76,1.76
82,1.76,1.76
83,1.76,1.76
84,1.76,1.76
85,1.76,1.76
86,1.76,1.76
87,1.76,1.76
88,1.76,1.76
89,1.76,1.76
90,1.76,1.76
91,1.76,1.76
92,1.76,1.76
93,1.76,1.76
94,1.76,1.76
95,1.76,1.76
96,1.76,1.76
97,1.76,1.76
98,1.76,1.76
99,1.76,1.76
100,1.76,1.76
101,1.76,1.76
102,1.76,1.76
103,1.76,1.76
104,1.76,1.76
105,1.76,1.76
106,1.76,1.76
107,1.76,1.76
108,1.76,1.76
109,1.76,1.76
