Age,Male,Female
0,1,0.61
1,1,0.61
2,1,0.61
3,1,0.61
4,1,0.61
5,1,0.61
6,1,0.61
7,1,0.61
8,1,0.61
9,1,0.61
10,1,0.61
11,1,0.61
12,1,0.61
13,1,0.61
14,1,0.61
15,1,0.61
16,1,0.61
17,1,0.61
18,1,0.61
19,1,0.61
20,1,0.61
21,1,0.61
22,1,0.61
23,1,0.61
24,1,0.61
25,1,0.61
26,1,0.61
27,1,0.61
28,1,0.61
29,1,0.61
30,1,0.61
31,1,0.61
32,1,0.61
33,1,0.61
34,1,0.61
35,1,0.61
36,1,0.61
37,1,0.61
38,1,0.61
39,1,0.61
40,1,0.61
41,1,0.61
42,1,0.61
43,1,0.61
44,1,0.61
45,1,0.61
46,1,0.61
47,1,0.61
48,1,0.61
49,1,0.61
50,1,0.61
51,1,0.61
52,1,0.61
53,1,0.61
54,1,0.61
55,1,0.61
56,1,0.61
57,1,0.61
58,1,0.61
59,1,0.61
60,1,0.61
61,1,0.61
62,1,0.61
63,1,0.61
64,1,0.61
65,1,0.61
66,1,0.61
67,1,0.61
68,1,0.61
69,1,0.61
70,1,0.61
71,1,0.61
72,1,0.61
73,1,0.61
74,1,0.61
75,1,0.61
76,1,0.61
77,1,0.61
78,1,0.61
79,1,0.61
80,1,0.61
81,1,0.61
82,1,0.61
83,1,0.61
84,1,0.61
85,1,0.61
86,1,0.61
87,1,0.61
88,1,0.61
89,1,0.61
90,1,0.61
91,1,0.61
92,1,0.61
93,1,0.61
94,1,0.61
95,1,0.61
96,1,0.61
97,1,0.61
98,1,0.61
99,1,0.61
100,1,0.61
101,1,0.61
102,1,0.61
103,1,0.61
104,1,0.61
105,1,0.61
106,1,0.61
107,1,0.61
108,1,0.61
109,1,0.61
110,0,0.61
