Age,Male,Female
0,0.73,0.73
1,0.73,0.73
2,0.73,0.73
3,0.73,0.73
4,0.73,0.73
5,0.73,0.73
6,0.73,0.73
7,0.73,0.73
8,0.73,0.73
9,0.73,0.73
10,0.73,0.73
11,0.73,0.73
12,0.73,0.73
13,0.73,0.73
14,0.73,0.73
15,0.73,0.73
16,0.73,0.73
17,0.73,0.73
18,0.73,0.73
19,0.73,0.73
20,0.73,0.73
21,0.73,0.73
22,0.73,0.73
23,0.73,0.73
24,0.73,0.73
25,0.73,0.73
26,0.73,0.73
27,0.73,0.73
28,0.73,0.73
29,0.73,0.73
30,0.73,0.73
31,0.73,0.73
32,0.73,0.73
33,0.73,0.73
34,0.73,0.73
35,0.73,0.73
36,0.73,0.73
37,0.73,0.73
38,0.73,0.73
39,0.73,0.73
40,0.73,0.73
41,0.73,0.73
42,0.73,0.73
43,0.73,0.73
44,0.73,0.73
45,0.73,0.73
46,0.73,0.73
47,0.73,0.73
48,0.73,0.73
49,0.73,0.73
50,0.73,0.73
51,0.73,0.73
52,0.73,0.73
53,0.73,0.73
54,0.73,0.73
55,0.73,0.73
56,0.73,0.73
57,0.73,0.73
58,0.73,0.73
59,0.73,0.73
60,0.73,0.73
61,0.73,0.73
62,0.73,0.73
63,0.73,0.73
64,0.73,0.73
65,0.42,0.42
66,0.42,0.42
67,0.42,0.42
68,0.42,0.42
69,0.42,0.42
70,0.42,0.42
71,0.42,0.42
72,0.42,0.42
73,0.42,0.42
74,0.42,0.42
75,0.42,0.42
76,0.42,0.42
77,0.42,0.42
78,0.42,0.42
79,0.42,0.42
80,0.42,0.42
81,0.42,0.42
82,0.42,0.42
83,0.42,0.42
84,0.42,0.42
85,0.42,0.42
86,0.42,0.42
87,0.42,0.42
88,0.42,0.42
89,0.42,0.42
90,0.42,0.42
91,0.42,0.42
92,0.42,0.42
93,0.42,0.42
94,0.42,0.42
95,0.42,0.42
96,0.42,0.42
97,0.42,0.42
98,0.42,0.42
99,0.42,0.42
100,0.42,0.42
101,0.42,0.42
102,0.42,0.42
103,0.42,0.42
104,0.42,0.42
105,0.42,0.42
106,0.42,0.42
107,0.42,0.42
108,0.42,0.42
109,0.42,0.42
110,0.42,0.42
