Age,Male,Female
0,1.22,1.03
1,1.22,1.03
2,1.22,1.03
3,1.22,1.03
4,1.22,1.03
5,1.22,1.03
6,1.22,1.03
7,1.22,1.03
8,1.22,1.03
9,1.22,1.03
10,1.22,1.03
11,1.22,1.03
12,1.22,1.03
13,1.22,1.03
14,1.22,1.03
15,1.22,1.03
16,1.22,1.03
17,1.22,1.03
18,1.22,1.03
19,1.22,1.03
20,1.22,1.03
21,1.22,1.03
22,1.22,1.03
23,1.22,1.03
24,1.22,1.03
25,1.22,1.03
26,1.22,1.03
27,1.22,1.03
28,1.22,1.03
29,1.22,1.03
30,1.22,1.03
31,1.22,1.03
32,1.22,1.03
33,1.22,1.03
34,1.22,1.03
35,1.22,1.03
36,1.22,1.03
37,1.22,1.03
38,1.22,1.03
39,1.22,1.03
40,1.22,1.03
41,1.22,1.03
42,1.22,1.03
43,1.22,1.03
44,1.22,1.03
45,1.22,1.03
46,1.22,1.03
47,1.22,1.03
48,1.22,1.03
49,1.22,1.03
50,1.22,1.03
51,1.22,1.03
52,1.22,1.03
53,1.22,1.03
54,1.22,1.03
55,1.22,1.03
56,1.22,1.03
57,1.22,1.03
58,1.22,1.03
59,1.22,1.03
60,1.22,1.03
61,1.22,1.03
62,1.22,1.03
63,1.22,1.03
64,1.22,1.03
65,1.22,1.03
66,1.22,1.03
67,1.22,1.03
68,1.22,1.03
69,1.22,1.03
70,1.22,1.03
71,1.22,1.03
72,1.22,1.03
73,1.22,1.03
74,1.22,1.03
75,1.22,1.03
76,1.22,1.03
77,1.22,1.03
78,1.22,1.03
79,1.22,1.03
80,1.22,1.03
81,1.22,1.03
82,1.22,1.03
83,1.22,1.03
84,1.22,1.03
85,1.22,1.03
86,1.22,1.03
87,1.22,1.03
88,1.22,1.03
89,1.22,1.03
90,1.22,1.03
91,1.22,1.03
92,1.22,1.03
93,1.22,1.03
94,1.22,1.03
95,1.22,1.03
96,1.22,1.03
97,1.22,1.03
98,1.22,1.03
99,1.22,1.03
100,1.22,1.03
101,1.22,1.03
102,1.22,1.03
103,1.22,1.03
104,1.22,1.03
105,1.22,1.03
106,1.22,1.03
107,1.22,1.03
108,1.22,1.03
109,1.22,1.03
110,1.22,1.03
