Age,Male,Female
0,1.64,1.64
1,1.64,1.64
2,1.64,1.64
3,1.64,1.64
4,1.64,1.64
5,1.64,1.64
6,1.64,1.64
7,1.64,1.64
8,1.64,1.64
9,1.64,1.64
10,1.64,1.64
11,1.64,1.64
12,1.64,1.64
13,1.64,1.64
14,1.64,1.64
15,1.64,1.64
16,1.64,1.64
17,1.64,1.64
18,1.64,1.64
19,1.64,1.64
20,1.64,1.64
21,1.64,1.64
22,1.64,1.64
23,1.64,1.64
24,1.64,1.64
25,1.64,1.64
26,1.64,1.64
27,1.64,1.64
28,1.64,1.64
29,1.64,1.64
30,1.64,1.64
31,1.64,1.64
32,1.64,1.64
33,1.64,1.64
34,1.64,1.64
35,1.64,1.64
36,1.64,1.64
37,1.64,1.64
38,1.64,1.64
39,1.64,1.64
40,1.64,1.64
41,1.64,1.64
42,1.64,1.64
43,1.64,1.64
44,1.64,1.64
45,1.64,1.64
46,1.64,1.64
47,1.64,1.64
48,1.64,1.64
49,1.64,1.64
50,1.64,1.64
51,1.64,1.64
52,1.64,1.64
53,1.64,1.64
54,1.64,1.64
55,1.64,1.64
56,1.64,1.64
57,1.64,1.64
58,1.64,1.64
59,1.64,1.64
60,1.64,1.64
61,1.64,1.64
62,1.64,1.64
63,1.64,1.64
64,1.64,1.64
65,1.64,1.64
66,1.64,1.64
67,1.64,1.64
68,1.64,1.64
69,1.64,1.64
70,1.64,1.64
71,1.64,1.64
72,1.64,1.64
73,1.64,1.64
74,1.64,1.64
75,1.64,1.64
76,1.64,1.64
77,1.64,1.64
78,1.64,1.64
79,1.64,1.64
80,1.64,1.64
81,1.64,1.64
82,1.64,1.64
83,1.64,1.64
84,1.64,1.64
85,1.64,1.64
86,1.64,1.64
87,1.64,1.64
88,1.64,1.64
89,1.64,1.64
90,1.64,1.64
91,1.64,1.64
92,1.64,1.64
93,1.64,1.64
94,1.64,1.64
95,1.64,1.64
96,1.64,1.64
97,1.64,1.64
98,1.64,1.64
99,1.64,1.64
100,1.64,1.64
101,1.64,1.64
102,1.64,1.64
103,1.64,1.64
104,1.64,1.64
105,1.64,1.64
106,1.64,1.64
107,1.64,1.64
108,1.64,1.64
109,1.64,1.64
110,1.64,1.64
