Age,Male,Female
0,1.41,1.41
1,1.41,1.41
2,1.41,1.41
3,1.41,1.41
4,1.41,1.41
5,1.41,1.41
6,1.41,1.41
7,1.41,1.41
8,1.41,1.41
9,1.41,1.41
10,1.41,1.41
11,1.41,1.41
12,1.41,1.41
13,1.41,1.41
14,1.41,1.41
15,1.41,1.41
16,1.41,1.41
17,1.41,1.41
18,1.41,1.41
19,1.41,1.41
20,1.41,1.41
21,1.41,1.41
22,1.41,1.41
23,1.41,1.41
24,1.41,1.41
25,1.41,1.41
26,1.41,1.41
27,1.41,1.41
28,1.41,1.41
29,1.41,1.41
30,1.41,1.41
31,1.41,1.41
32,1.41,1.41
33,1.41,1.41
34,1.41,1.41
35,1.41,1.41
36,1.41,1.41
37,1.41,1.41
38,1.41,1.41
39,1.41,1.41
40,1.41,1.41
41,1.41,1.41
42,1.41,1.41
43,1.41,1.41
44,1.41,1.41
45,1.41,1.41
46,1.41,1.41
47,1.41,1.41
48,1.41,1.41
49,1.41,1.41
50,1.41,1.41
51,1.41,1.41
52,1.41,1.41
53,1.41,1.41
54,1.41,1.41
55,1.41,1.41
56,1.41,1.41
57,1.41,1.41
58,1.41,1.41
59,1.41,1.41
60,1.41,1.41
61,1.41,1.41
62,1.41,1.41
63,1.41,1.41
64,1.41,1.41
65,1.41,1.41
66,1.41,1.41
67,1.41,1.41
68,1.41,1.41
69,1.41,1.41
70,1.41,1.41
71,1.41,1.41
72,1.41,1.41
73,1.41,1.41
74,1.41,1.41
75,1.41,1.41
76,1.41,1.41
77,1.41,1.41
78,1.41,1.41
79,1.41,1.41
80,1.41,1.41
81,1.41,1.41
82,1.41,1.41
83,1.41,1.41
84,1.41,1.41
85,1.41,1.41
86,1.41,1.41
87,1.41,1.41
88,1.41,1.41
89,1.41,1.41
90,1.41,1.41
91,1.41,1.41
92,1.41,1.41
93,1.41,1.41
94,1.41,1.41
95,1.41,1.41
96,1.41,1.41
97,1.41,1.41
98,1.41,1.41
99,1.41,1.41
100,1.41,1.41
101,1.41,1.41
102,1.41,1.41
103,1.41,1.41
104,1.41,1.41
105,1.41,1.41
106,1.41,1.41
107,1.41,1.41
108,1.41,1.41
109,1.41,1.41
110,1.41,1.41
