Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1.37,1.37
21,1.37,1.37
22,1.37,1.37
23,1.37,1.37
24,1.37,1.37
25,1.37,1.37
26,1.37,1.37
27,1.37,1.37
28,1.37,1.37
29,1.37,1.37
30,1.37,1.37
31,1.37,1.37
32,1.37,1.37
33,1.37,1.37
34,1.37,1.37
35,1.37,1.37
36,1.37,1.37
37,1.37,1.37
38,1.37,1.37
39,1.37,1.37
40,1.37,1.37
41,1.37,1.37
42,1.37,1.37
43,1.37,1.37
44,1.37,1.37
45,1.37,1.37
46,1.37,1.37
47,1.37,1.37
48,1.37,1.37
49,1.37,1.37
50,1.37,1.37
51,1.37,1.37
52,1.37,1.37
53,1.37,1.37
54,1.37,1.37
55,1.37,1.37
56,1.37,1.37
57,1.37,1.37
58,1.37,1.37
59,1.37,1.37
60,1.37,1.37
61,1.37,1.37
62,1.37,1.37
63,1.37,1.37
64,1.37,1.37
65,1.37,1.37
66,1.37,1.37
67,1.37,1.37
68,1.37,1.37
69,1.37,1.37
70,1.37,1.37
71,1.37,1.37
72,1.37,1.37
73,1.37,1.37
74,1.37,1.37
75,1.37,1.37
76,1.37,1.37
77,1.37,1.37
78,1.37,1.37
79,1.37,1.37
80,1.37,1.37
81,1.37,1.37
82,1.37,1.37
83,1.37,1.37
84,1.37,1.37
85,1.37,1.37
86,1.37,1.37
87,1.37,1.37
88,1.37,1.37
89,1.37,1.37
90,1.37,1.37
91,1.37,1.37
92,1.37,1.37
93,1.37,1.37
94,1.37,1.37
95,1.37,1.37
96,1.37,1.37
97,1.37,1.37
98,1.37,1.37
99,1.37,1.37
100,1.37,1.37
101,1.37,1.37
102,1.37,1.37
103,1.37,1.37
104,1.37,1.37
105,1.37,1.37
106,1.37,1.37
107,1.37,1.37
108,1.37,1.37
109,1.37,1.37
110,1.37,1.37
