location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,1,False,1,Male,5,Prevalence,0.0007663203372531339,0.000575860236925,0.00029657225692499993
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,2,True,1,Male,5,Prevalence,0.0008086583844697299,0.000575860236925,0.00029657225692499993
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,3,True,1,Male,5,Prevalence,0.0008709986363256762,0.000575860236925,0.00029657225692499993
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,4,True,1,Male,5,Prevalence,0.0009520834719873543,0.000575860236925,0.00029657225692499993
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,1,False,1,Male,6,Incidence,0.0007663203372531339,0.000193691892,9.9652715125E-05
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,2,True,1,Male,6,Incidence,4.237053145370102E-05,0.000193691892,9.9652715125E-05
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,3,True,1,Male,6,Incidence,6.239072201238582E-05,0.000193691892,9.9652715125E-05
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,4,True,1,Male,6,Incidence,8.115554328080727E-05,0.000193691892,9.9652715125E-05
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,1,False,1,Male,7,remission,0,0,0
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,2,True,1,Male,7,remission,0,0,0
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,3,True,1,Male,7,remission,0,0,0
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,4,True,1,Male,7,remission,0,0,0
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,1,False,1,Male,15,mortality,1.7971018283763417E-08,2.2114375E-08,3.37472E-09
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,2,True,1,Male,15,mortality,1.936155303639283E-08,2.2114375E-08,3.37472E-09
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,3,True,1,Male,15,mortality,2.148740611075591E-08,2.2114375E-08,3.37472E-09
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,4,True,1,Male,15,mortality,2.4399121203548434E-08,2.2114375E-08,3.37472E-09
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,1,False,2,Female,5,Prevalence,0.0008168614034084481,0.00058313000725,0.0003428250114000001
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,2,True,2,Female,5,Prevalence,0.0008617049028490563,0.00058313000725,0.0003428250114000001
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,3,True,2,Female,5,Prevalence,0.0009277016152206026,0.00058313000725,0.0003428250114000001
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,4,True,2,Female,5,Prevalence,0.0010134820271755069,0.00058313000725,0.0003428250114000001
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,1,False,2,Female,6,Incidence,0.0008168614034084481,0.00019568833150000002,0.00011402250225
250,France,Chronic obstructive pulmonary disease,2019,5,1 to 4,2,True,2,Female,6,Incidence,4.488018442330984E-05,0.00019568833150000002,0.00011402250225
