Age,Male,Female
0,3.9,3.9
1,3.9,3.9
2,3.9,3.9
3,3.9,3.9
4,3.9,3.9
5,3.9,3.9
6,3.9,3.9
7,3.9,3.9
8,3.9,3.9
9,3.9,3.9
10,3.9,3.9
11,3.9,3.9
12,3.9,3.9
13,3.9,3.9
14,3.9,3.9
15,3.9,3.9
16,3.9,3.9
17,3.9,3.9
18,3.9,3.9
19,3.9,3.9
20,3.9,3.9
21,3.9,3.9
22,3.9,3.9
23,3.9,3.9
24,3.9,3.9
25,3.9,3.9
26,3.9,3.9
27,3.9,3.9
28,3.9,3.9
29,3.9,3.9
30,3.9,3.9
31,3.9,3.9
32,3.9,3.9
33,3.9,3.9
34,3.9,3.9
35,3.9,3.9
36,3.9,3.9
37,3.9,3.9
38,3.9,3.9
39,3.9,3.9
40,3.9,3.9
41,3.9,3.9
42,3.9,3.9
43,3.9,3.9
44,3.9,3.9
45,3.9,3.9
46,3.9,3.9
47,3.9,3.9
48,3.9,3.9
49,3.9,3.9
50,3.9,3.9
51,3.9,3.9
52,3.9,3.9
53,3.9,3.9
54,3.9,3.9
55,3.9,3.9
56,3.9,3.9
57,3.9,3.9
58,3.9,3.9
59,3.9,3.9
60,3.9,3.9
61,3.9,3.9
62,3.9,3.9
63,3.9,3.9
64,3.9,3.9
65,3.9,3.9
66,3.9,3.9
67,3.9,3.9
68,3.9,3.9
69,3.9,3.9
70,3.9,3.9
71,3.9,3.9
72,3.9,3.9
73,3.9,3.9
74,3.9,3.9
75,3.9,3.9
76,3.9,3.9
77,3.9,3.9
78,3.9,3.9
79,3.9,3.9
80,3.9,3.9
81,3.9,3.9
82,3.9,3.9
83,3.9,3.9
84,3.9,3.9
85,3.9,3.9
86,3.9,3.9
87,3.9,3.9
88,3.9,3.9
89,3.9,3.9
90,3.9,3.9
91,3.9,3.9
92,3.9,3.9
93,3.9,3.9
94,3.9,3.9
95,3.9,3.9
96,3.9,3.9
97,3.9,3.9
98,3.9,3.9
99,3.9,3.9
100,3.9,3.9
101,3.9,3.9
102,3.9,3.9
103,3.9,3.9
104,3.9,3.9
105,3.9,3.9
106,3.9,3.9
107,3.9,3.9
108,3.9,3.9
109,3.9,3.9
110,3.9,3.9
