Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1.82,1.82
20,1.82,1.82
21,1.82,1.82
22,1.82,1.82
23,1.82,1.82
24,1.82,1.82
25,1.82,1.82
26,1.82,1.82
27,1.82,1.82
28,1.82,1.82
29,1.82,1.82
30,1.82,1.82
31,1.82,1.82
32,1.82,1.82
33,1.82,1.82
34,1.82,1.82
35,1.82,1.82
36,1.82,1.82
37,1.82,1.82
38,1.82,1.82
39,1.82,1.82
40,1.82,1.82
41,1.82,1.82
42,1.82,1.82
43,1.82,1.82
44,1.82,1.82
45,1.82,1.82
46,1.82,1.82
47,1.82,1.82
48,1.82,1.82
49,1.82,1.82
50,1.82,1.82
51,1.82,1.82
52,1.82,1.82
53,1.82,1.82
54,1.82,1.82
55,1.82,1.82
56,1.82,1.82
57,1.82,1.82
58,1.82,1.82
59,1.82,1.82
60,1.82,1.82
61,1.82,1.82
62,1.82,1.82
63,1.82,1.82
64,1.82,1.82
65,1.82,1.82
66,1.82,1.82
67,1.82,1.82
68,1.82,1.82
69,1.82,1.82
70,1.82,1.82
71,1.82,1.82
72,1.82,1.82
73,1.82,1.82
74,1.82,1.82
75,1.82,1.82
76,1.82,1.82
77,1.82,1.82
78,1.82,1.82
79,1.82,1.82
80,1.82,1.82
81,1.82,1.82
82,1.82,1.82
83,1.82,1.82
84,1.82,1.82
85,1.82,1.82
86,1.82,1.82
87,1.82,1.82
88,1.82,1.82
89,1.82,1.82
90,1.82,1.82
91,1.82,1.82
92,1.82,1.82
93,1.82,1.82
94,1.82,1.82
95,1.82,1.82
96,1.82,1.82
97,1.82,1.82
98,1.82,1.82
99,1.82,1.82
100,1.82,1.82
101,1.82,1.82
102,1.82,1.82
103,1.82,1.82
104,1.82,1.82
105,1.82,1.82
106,1.82,1.82
107,1.82,1.82
108,1.82,1.82
109,1.82,1.82
