Age,Male,Female
0,15.43,9.56
1,15.43,9.56
2,15.43,9.56
3,15.43,9.56
4,15.43,9.56
5,15.43,9.56
6,15.43,9.56
7,15.43,9.56
8,15.43,9.56
9,15.43,9.56
10,15.43,9.56
11,15.43,9.56
12,15.43,9.56
13,15.43,9.56
14,15.43,9.56
15,15.43,9.56
16,15.43,9.56
17,15.43,9.56
18,15.43,9.56
19,15.43,9.56
20,15.43,9.56
21,15.43,9.56
22,15.43,9.56
23,15.43,9.56
24,15.43,9.56
25,15.43,9.56
26,15.43,9.56
27,15.43,9.56
28,15.43,9.56
29,15.43,9.56
30,15.43,9.56
31,15.43,9.56
32,15.43,9.56
33,15.43,9.56
34,15.43,9.56
35,15.43,9.56
36,15.43,9.56
37,15.43,9.56
38,15.43,9.56
39,15.43,9.56
40,15.43,9.56
41,15.43,9.56
42,15.43,9.56
43,15.43,9.56
44,15.43,9.56
45,15.43,9.56
46,15.43,9.56
47,15.43,9.56
48,15.43,9.56
49,15.43,9.56
50,15.43,9.56
51,15.43,9.56
52,15.43,9.56
53,15.43,9.56
54,15.43,9.56
55,15.43,9.56
56,15.43,9.56
57,15.43,9.56
58,15.43,9.56
59,15.43,9.56
60,15.43,9.56
61,15.43,9.56
62,15.43,9.56
63,15.43,9.56
64,15.43,9.56
65,15.43,9.56
66,15.43,9.56
67,15.43,9.56
68,15.43,9.56
69,15.43,9.56
70,15.43,9.56
71,15.43,9.56
72,15.43,9.56
73,15.43,9.56
74,15.43,9.56
75,15.43,9.56
76,15.43,9.56
77,15.43,9.56
78,15.43,9.56
79,15.43,9.56
80,15.43,9.56
81,15.43,9.56
82,15.43,9.56
83,15.43,9.56
84,15.43,9.56
85,15.43,9.56
86,15.43,9.56
87,15.43,9.56
88,15.43,9.56
89,15.43,9.56
90,15.43,9.56
91,15.43,9.56
92,15.43,9.56
93,15.43,9.56
94,15.43,9.56
95,15.43,9.56
96,15.43,9.56
97,15.43,9.56
98,15.43,9.56
99,15.43,9.56
100,15.43,9.56
101,15.43,9.56
102,15.43,9.56
103,15.43,9.56
104,15.43,9.56
105,15.43,9.56
106,15.43,9.56
107,15.43,9.56
108,15.43,9.56
109,15.43,9.56
110,15.43,9.56
