Age,Male,Female
0,1.85,1.85
1,1.85,1.85
2,1.85,1.85
3,1.85,1.85
4,1.85,1.85
5,1.85,1.85
6,1.85,1.85
7,1.85,1.85
8,1.85,1.85
9,1.85,1.85
10,1.85,1.85
11,1.85,1.85
12,1.85,1.85
13,1.85,1.85
14,1.85,1.85
15,1.85,1.85
16,1.85,1.85
17,1.85,1.85
18,1.85,1.85
19,1.85,1.85
20,1.85,1.85
21,1.85,1.85
22,1.85,1.85
23,1.85,1.85
24,1.85,1.85
25,1.85,1.85
26,1.85,1.85
27,1.85,1.85
28,1.85,1.85
29,1.85,1.85
30,1.85,1.85
31,1.85,1.85
32,1.85,1.85
33,1.85,1.85
34,1.85,1.85
35,1.85,1.85
36,1.85,1.85
37,1.85,1.85
38,1.85,1.85
39,1.85,1.85
40,1.85,1.85
41,1.85,1.85
42,1.85,1.85
43,1.85,1.85
44,1.85,1.85
45,1.85,1.85
46,1.85,1.85
47,1.85,1.85
48,1.85,1.85
49,1.85,1.85
50,1.85,1.85
51,1.85,1.85
52,1.85,1.85
53,1.85,1.85
54,1.85,1.85
55,1.85,1.85
56,1.85,1.85
57,1.85,1.85
58,1.85,1.85
59,1.85,1.85
60,1.85,1.85
61,1.85,1.85
62,1.85,1.85
63,1.85,1.85
64,1.85,1.85
65,1.85,1.85
66,1.85,1.85
67,1.85,1.85
68,1.85,1.85
69,1.85,1.85
70,1.85,1.85
71,1.85,1.85
72,1.85,1.85
73,1.85,1.85
74,1.85,1.85
75,1.85,1.85
76,1.85,1.85
77,1.85,1.85
78,1.85,1.85
79,1.85,1.85
80,1.85,1.85
81,1.85,1.85
82,1.85,1.85
83,1.85,1.85
84,1.85,1.85
85,1.85,1.85
86,1.85,1.85
87,1.85,1.85
88,1.85,1.85
89,1.85,1.85
90,1.85,1.85
91,1.85,1.85
92,1.85,1.85
93,1.85,1.85
94,1.85,1.85
95,1.85,1.85
96,1.85,1.85
97,1.85,1.85
98,1.85,1.85
99,1.85,1.85
100,1.85,1.85
101,1.85,1.85
102,1.85,1.85
103,1.85,1.85
104,1.85,1.85
105,1.85,1.85
106,1.85,1.85
107,1.85,1.85
108,1.85,1.85
109,1.85,1.85
110,1.85,1.85
