Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1.65,1.65
66,1.65,1.65
67,1.65,1.65
68,1.65,1.65
69,1.65,1.65
70,1.65,1.65
71,1.65,1.65
72,1.65,1.65
73,1.65,1.65
74,1.65,1.65
75,1.65,1.65
76,1.65,1.65
77,1.65,1.65
78,1.65,1.65
79,1.65,1.65
80,1.65,1.65
81,1.65,1.65
82,1.65,1.65
83,1.65,1.65
84,1.65,1.65
85,1.65,1.65
86,1.65,1.65
87,1.65,1.65
88,1.65,1.65
89,1.65,1.65
90,1.65,1.65
91,1.65,1.65
92,1.65,1.65
93,1.65,1.65
94,1.65,1.65
95,1.65,1.65
96,1.65,1.65
97,1.65,1.65
98,1.65,1.65
99,1.65,1.65
100,1.65,1.65
101,1.65,1.65
102,1.65,1.65
103,1.65,1.65
104,1.65,1.65
105,1.65,1.65
106,1.65,1.65
107,1.65,1.65
108,1.65,1.65
109,1.65,1.65
110,1.65,1.65
