Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,3.7,3.7
18,3.7,3.7
19,3.7,3.7
20,3.7,3.7
21,3.7,3.7
22,3.7,3.7
23,3.7,3.7
24,3.7,3.7
25,3.7,3.7
26,3.7,3.7
27,3.7,3.7
28,3.7,3.7
29,3.7,3.7
30,3.7,3.7
31,3.7,3.7
32,3.7,3.7
33,3.7,3.7
34,3.7,3.7
35,3.7,3.7
36,3.7,3.7
37,3.7,3.7
38,3.7,3.7
39,3.7,3.7
40,3.7,3.7
41,3.7,3.7
42,3.7,3.7
43,3.7,3.7
44,3.7,3.7
45,3.7,3.7
46,3.7,3.7
47,3.7,3.7
48,3.7,3.7
49,3.7,3.7
50,3.7,3.7
51,3.7,3.7
52,3.7,3.7
53,3.7,3.7
54,3.7,3.7
55,3.7,3.7
56,3.7,3.7
57,3.7,3.7
58,3.7,3.7
59,3.7,3.7
60,3.7,3.7
61,3.7,3.7
62,3.7,3.7
63,3.7,3.7
64,3.7,3.7
65,3.7,3.7
66,3.7,3.7
67,3.7,3.7
68,3.7,3.7
69,3.7,3.7
70,3.7,3.7
71,3.7,3.7
72,3.7,3.7
73,3.7,3.7
74,3.7,3.7
75,3.7,3.7
76,3.7,3.7
77,3.7,3.7
78,3.7,3.7
79,3.7,3.7
80,3.7,3.7
81,3.7,3.7
82,3.7,3.7
83,3.7,3.7
84,3.7,3.7
85,3.7,3.7
86,3.7,3.7
87,3.7,3.7
88,3.7,3.7
89,3.7,3.7
90,3.7,3.7
91,3.7,3.7
92,3.7,3.7
93,3.7,3.7
94,3.7,3.7
95,3.7,3.7
96,3.7,3.7
97,3.7,3.7
98,3.7,3.7
99,3.7,3.7
100,3.7,3.7
101,3.7,3.7
102,3.7,3.7
103,3.7,3.7
104,3.7,3.7
105,3.7,3.7
106,3.7,3.7
107,3.7,3.7
108,3.7,3.7
109,3.7,3.7
