Age,Male,Female
0,1.61,1.61
1,1.61,1.61
2,1.61,1.61
3,1.61,1.61
4,1.61,1.61
5,1.61,1.61
6,1.61,1.61
7,1.61,1.61
8,1.61,1.61
9,1.61,1.61
10,1.61,1.61
11,1.61,1.61
12,1.61,1.61
13,1.61,1.61
14,1.61,1.61
15,1.61,1.61
16,1.61,1.61
17,1.61,1.61
18,1.61,1.61
19,1.61,1.61
20,1.61,1.61
21,1.61,1.61
22,1.61,1.61
23,1.61,1.61
24,1.61,1.61
25,1.61,1.61
26,1.61,1.61
27,1.61,1.61
28,1.61,1.61
29,1.61,1.61
30,1.61,1.61
31,1.61,1.61
32,1.61,1.61
33,1.61,1.61
34,1.61,1.61
35,1.61,1.61
36,1.61,1.61
37,1.61,1.61
38,1.61,1.61
39,1.61,1.61
40,1.61,1.61
41,1.61,1.61
42,1.61,1.61
43,1.61,1.61
44,1.61,1.61
45,1.61,1.61
46,1.61,1.61
47,1.61,1.61
48,1.61,1.61
49,1.61,1.61
50,1.61,1.61
51,1.61,1.61
52,1.61,1.61
53,1.61,1.61
54,1.61,1.61
55,1.61,1.61
56,1.61,1.61
57,1.61,1.61
58,1.61,1.61
59,1.61,1.61
60,1.61,1.61
61,1.61,1.61
62,1.61,1.61
63,1.61,1.61
64,1.61,1.61
65,1.61,1.61
66,1.61,1.61
67,1.61,1.61
68,1.61,1.61
69,1.61,1.61
70,1.61,1.61
71,1.61,1.61
72,1.61,1.61
73,1.61,1.61
74,1.61,1.61
75,1.61,1.61
76,1.61,1.61
77,1.61,1.61
78,1.61,1.61
79,1.61,1.61
80,1.61,1.61
81,1.61,1.61
82,1.61,1.61
83,1.61,1.61
84,1.61,1.61
85,1.61,1.61
86,1.61,1.61
87,1.61,1.61
88,1.61,1.61
89,1.61,1.61
90,1.61,1.61
91,1.61,1.61
92,1.61,1.61
93,1.61,1.61
94,1.61,1.61
95,1.61,1.61
96,1.61,1.61
97,1.61,1.61
98,1.61,1.61
99,1.61,1.61
100,1.61,1.61
101,1.61,1.61
102,1.61,1.61
103,1.61,1.61
104,1.61,1.61
105,1.61,1.61
106,1.61,1.61
107,1.61,1.61
108,1.61,1.61
109,1.61,1.61
110,1.61,1.61
