Age,Male,Female
0,2.24,2.24
1,2.24,2.24
2,2.24,2.24
3,2.24,2.24
4,2.24,2.24
5,2.24,2.24
6,2.24,2.24
7,2.24,2.24
8,2.24,2.24
9,2.24,2.24
10,2.24,2.24
11,2.24,2.24
12,2.24,2.24
13,2.24,2.24
14,2.24,2.24
15,2.24,2.24
16,2.24,2.24
17,2.24,2.24
18,2.24,2.24
19,2.24,2.24
20,2.24,2.24
21,2.24,2.24
22,2.24,2.24
23,2.24,2.24
24,2.24,2.24
25,2.24,2.24
26,2.24,2.24
27,2.24,2.24
28,2.24,2.24
29,2.24,2.24
30,2.24,2.24
31,2.24,2.24
32,2.24,2.24
33,2.24,2.24
34,2.24,2.24
35,2.24,2.24
36,2.24,2.24
37,2.24,2.24
38,2.24,2.24
39,2.24,2.24
40,2.24,2.24
41,2.24,2.24
42,2.24,2.24
43,2.24,2.24
44,2.24,2.24
45,2.24,2.24
46,2.24,2.24
47,2.24,2.24
48,2.24,2.24
49,2.24,2.24
50,2.24,2.24
51,2.24,2.24
52,2.24,2.24
53,2.24,2.24
54,2.24,2.24
55,2.24,2.24
56,2.24,2.24
57,2.24,2.24
58,2.24,2.24
59,2.24,2.24
60,2.24,2.24
61,2.24,2.24
62,2.24,2.24
63,2.24,2.24
64,2.24,2.24
65,2.24,2.24
66,2.24,2.24
67,2.24,2.24
68,2.24,2.24
69,2.24,2.24
70,2.24,2.24
71,2.24,2.24
72,2.24,2.24
73,2.24,2.24
74,2.24,2.24
75,2.24,2.24
76,2.24,2.24
77,2.24,2.24
78,2.24,2.24
79,2.24,2.24
80,2.24,2.24
81,2.24,2.24
82,2.24,2.24
83,2.24,2.24
84,2.24,2.24
85,2.24,2.24
86,2.24,2.24
87,2.24,2.24
88,2.24,2.24
89,2.24,2.24
90,2.24,2.24
91,2.24,2.24
92,2.24,2.24
93,2.24,2.24
94,2.24,2.24
95,2.24,2.24
96,2.24,2.24
97,2.24,2.24
98,2.24,2.24
99,2.24,2.24
100,2.24,2.24
101,2.24,2.24
102,2.24,2.24
103,2.24,2.24
104,2.24,2.24
105,2.24,2.24
106,2.24,2.24
107,2.24,2.24
108,2.24,2.24
109,2.24,2.24
110,2.24,2.24
