Age,Male,Female
0,1,1.83
1,1,1.83
2,1,1.83
3,1,1.83
4,1,1.83
5,1,1.83
6,1,1.83
7,1,1.83
8,1,1.83
9,1,1.83
10,1,1.83
11,1,1.83
12,1,1.83
13,1,1.83
14,1,1.83
15,1,1.83
16,1,1.83
17,1,1.83
18,1,1.83
19,1,1.83
20,1,1.83
21,1,1.83
22,1,1.83
23,1,1.83
24,1,1.83
25,1,1.83
26,1,1.83
27,1,1.83
28,1,1.83
29,1,1.83
30,1,1.83
31,1,1.83
32,1,1.83
33,1,1.83
34,1,1.83
35,1,1.83
36,1,1.83
37,1,1.83
38,1,1.83
39,1,1.83
40,1,1.83
41,1,1.83
42,1,1.83
43,1,1.83
44,1,1.83
45,1,1.83
46,1,1.83
47,1,1.83
48,1,1.83
49,1,1.83
50,1,0.95
51,1,0.95
52,1,0.95
53,1,0.95
54,1,0.95
55,1,0.95
56,1,0.95
57,1,0.95
58,1,0.95
59,1,0.95
60,1,0.95
61,1,0.95
62,1,0.95
63,1,0.95
64,1,0.95
65,1,0.95
66,1,0.95
67,1,0.95
68,1,0.95
69,1,0.95
70,1,0.95
71,1,0.95
72,1,0.95
73,1,0.95
74,1,0.95
75,1,0.95
76,1,0.95
77,1,0.95
78,1,0.95
79,1,0.95
80,1,0.95
81,1,0.95
82,1,0.95
83,1,0.95
84,1,0.95
85,1,0.95
86,1,0.95
87,1,0.95
88,1,0.95
89,1,0.95
90,1,0.95
91,1,0.95
92,1,0.95
93,1,0.95
94,1,0.95
95,1,0.95
96,1,0.95
97,1,0.95
98,1,0.95
99,1,0.95
100,1,0.95
101,1,0.95
102,1,0.95
103,1,0.95
104,1,0.95
105,1,0.95
106,1,0.95
107,1,0.95
108,1,0.95
109,1,0.95
110,0,0.95
