Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,2,1.3
42,2,1.3
43,2,1.3
44,2,1.3
45,2,1.3
46,2,1.3
47,2,1.3
48,2,1.3
49,2,1.3
50,2,1.3
51,2,1.3
52,2,1.3
53,2,1.3
54,2,1.3
55,2,1.3
56,2,1.3
57,2,1.3
58,2,1.3
59,2,1.3
60,2,1.3
61,2,1.3
62,2,1.3
63,2,1.3
64,2,1.3
65,2,1.3
66,2,1.3
67,2,1.3
68,2,1.3
69,2,1.3
70,2,1.3
71,2,1.3
72,2,1.3
73,2,1.3
74,2,1.3
75,2,1.3
76,2,1.3
77,2,1.3
78,2,1.3
79,2,1.3
80,2,1.3
81,2,1.3
82,2,1.3
83,2,1.3
84,2,1.3
85,2,1.3
86,2,1.3
87,2,1.3
88,2,1.3
89,2,1.3
90,2,1.3
91,2,1.3
92,2,1.3
93,2,1.3
94,2,1.3
95,2,1.3
96,2,1.3
97,2,1.3
98,2,1.3
99,2,1.3
100,2,1.3
101,2,1.3
102,2,1.3
103,2,1.3
104,2,1.3
105,2,1.3
106,2,1.3
107,2,1.3
108,2,1.3
109,2,1.3
110,2,1.3
